fram	aa	fram
Stöðin	nveng	stöð
er	sfg3en	vera
í	aþ	í
vesturbæ	nkeþ	vesturbær
Reykjavíkur	nvee-s	Reykjavík
við	ao	við
Ánanaust	nhfo-s	Ánanaust
.	.	.
Afgreiðslutími	nken	afgreiðslutími
stöðvarinnar	nveeg	stöð
er	sfg3en	vera
sem	ct	sem
hér	aa	hér
segir	sfg3en	segja
:	:	:
VIRKA	lkfosf	virkur
DAGA	nkfo	dagur
:	:	:
Frá	aa	frá
12:30	ta	12:30
-	-	-
19:30	ta	19:30
HELGAR	nvfn	helgi
:	:	:
Frá	aa	frá
kl.	as	kl.
10:00	ta	10:00
-	-	-
18:30	ta	18:30
Umsjónarmenn	nkfn	umsjónarmaður
endurvinnslustöðva	nvfe	endurvinnslustöð
eru	sfg3fn	vera
:	:	:
Steinunn	nven-s	Steinunn
Jónsdóttir	nven-s	Jónsdóttir
Stefán	nken-s	Stefán
Örn	nken-s	Örn
Einarsson	nken-s	Einarsson
Endurvinnslustöðin	nveng	endurvinnslustöð
við	ao	við
Jafnasel	nheo-s	Jafnasel
Stöðin	nveng	stöð
er	sfg3en	vera
í	aþ	í
Breiðholti	nheþ-s	Breiðholt
,	,	,
Jafnaseli	nheþ-s	Jafnasel
8	ta	8
.	.	.
Afgreiðslutími	nken	afgreiðslutími
stöðvarinnar	nveeg	stöð
er	sfg3en	vera
sem	ct	sem
hér	aa	hér
segir	sfg3en	segja
:	:	:
VIRKA	lkfosf	virkur
DAGA	nkfo	dagur
:	:	:
Frá	aa	frá
12:30	ta	12:30
-	-	-
19:30	ta	19:30
HELGAR	nvfn	helgi
:	:	:
Frá	aa	frá
kl.	as	kl.
10:00	ta	10:00
-	-	-
18:30	ta	18:30
Umsjónarmenn	nkfn	umsjónarmaður
endurvinnslustöðva	nvfe	endurvinnslustöð
eru	sfg3fn	vera
:	:	:
Steinunn	nven-s	Steinunn
Jónsdóttir	nven-s	Jónsdóttir
Stefán	nken-s	Stefán
Örn	nken-s	Örn
Einarsson	nken-s	Einarsson
Endurvinnslustöðin	nveng	endurvinnslustöð
við	ao	við
Sævarhöfða	nkeo-s	Sævarhöfði
Stöðin	nveng	stöð
er	sfg3en	vera
staðsett	lvensf	staðsettur
í	aþ	í
nágrenni	nheþ	nágrenni
við	ao	við
Bryggjuhverfi	nheo-s	bryggjuhverfi
að	aþ	að
Sævarhöfða	nkeþ-s	Sævarhöfði
21	ta	21
.	.	.
Afgreiðslutími	nken	afgreiðslutími
stöðvarinnar	nveeg	stöð
er	sfg3en	vera
sem	ct	sem
hér	aa	hér
segir	sfg3en	segja
:	:	:
VIRKA	lkfosf	virkur
DAGA	nkfo	dagur
:	:	:
Frá	aa	frá
12:30	ta	12:30
-	-	-
19:30	ta	19:30
HELGAR	nvfn	helgi
:	:	:
Frá	aa	frá
kl.	as	kl.
10:00	ta	10:00
-	-	-
18:30	ta	18:30
Umsjónarmenn	nkfn	umsjónarmaður
endurvinnslustöðva	nvfe	endurvinnslustöð
eru	sfg3fn	vera
:	:	:
Steinunn	nven-s	Steinunn
Jónsdóttir	nven-s	Jónsdóttir
Stefán	nken-s	Stefán
Örn	nken-s	Örn
Einarsson	nken-s	Einarsson
Endurvinnslustöðin	nveng	endurvinnslustöð
við	ao	við
Norðurgrund	nveo-s	Norðurgrund
Stöðin	nveng	stöð
er	sfg3en	vera
á	aþ	á
Kjalarnesi	nheþ-s	Kjalarnes
,	,	,
við	ao	við
Norðurgrund	nveo-s	Norðurgrund
.	.	.
Afgreiðslutími	nken	afgreiðslutími
stöðvarinnar	nveeg	stöð
er	sfg3en	vera
sem	ct	sem
hér	aa	hér
segir	sfg3en	segja
:	:	:
Sunnudaga	nkfo	sunnudagur
,	,	,
miðvikudaga	nkfo	miðvikudagur
og	c	og
föstudaga	nkfo	föstudagur
frá	aa	frá
14:30	ta	14:30
-	-	-
19:30	ta	19:30
.	.	.
Umsjónarmenn	nkfn	umsjónarmaður
endurvinnslustöðva	nvfe	endurvinnslustöð
eru	sfg3fn	vera
:	:	:
Steinunn	nven-s	Steinunn
Jónsdóttir	nven-s	Jónsdóttir
Stefán	nken-s	Stefán
Örn	nken-s	Örn
Einarsson	nken-s	Einarsson
Endurvinnslustöðin	nveng	endurvinnslustöð
við	ao	við
Miðhraun	nheo-s	Miðhraun
Stöðin	nveng	stöð
er	sfg3en	vera
staðsett	lvensf	staðsettur
í	aþ	í
Garðabæ	nkeþ-s	Garðabær
,	,	,
Miðhrauni	nheþ-s	Miðhraun
20	ta	20
.	.	.
Opnunartími	nken	opnunartími
stöðvarinnar	nveeg	stöð
er	sfg3en	vera
sem	ct	sem
hér	aa	hér
segir	sfg3en	segja
:	:	:
VIRKA	lkfosf	virkur
DAGA	nkfo	dagur
:	:	:
Frá	aa	frá
12:30	ta	12:30
-	-	-
19:30	ta	19:30
HELGAR	nvfn	helgi
:	:	:
Frá	aa	frá
kl.	as	kl.
10:00	ta	10:00
-	-	-
18:30	ta	18:30
Umsjónarmenn	nkfn	umsjónarmaður
endurvinnslustöðva	nvfe	endurvinnslustöð
eru	sfg3fn	vera
:	:	:
Steinunn	nven-s	Steinunn
Jónsdóttir	nven-s	Jónsdóttir
Stefán	nken-s	Stefán
Örn	nken-s	Örn
Einarsson	nken-s	Einarsson
Endurvinnslustöðin	nveng	endurvinnslustöð
við	ao	við
Dalveg	nkeo-s	Dalvegur
Stöðin	nveng	stöð
er	sfg3en	vera
í	aþ	í
Kópavogi	nkeþ-s	Kópavogur
,	,	,
Dalveg	nkeþ-s	Dalvegur
1	ta	1
.	.	.
Afgreiðslutími	nken	afgreiðslutími
stöðvarinnar	nveeg	stöð
er	sfg3en	vera
sem	ct	sem
hér	aa	hér
segir	sfg3en	segja
:	:	:
VIRKA	lkfosf	virkur
DAGA	nkfo	dagur
:	:	:
Frá	aa	frá
12:30	ta	12:30
-	-	-
19:30	ta	19:30
HELGAR	nvfn	helgi
:	:	:
Frá	aa	frá
kl.	as	kl.
10:00	ta	10:00
-	-	-
18:30	ta	18:30
Umsjónarmenn	nkfn	umsjónarmaður
endurvinnslustöðva	nvfe	endurvinnslustöð
eru	sfg3fn	vera
:	:	:
Steinunn	nven-s	Steinunn
Jónsdóttir	nven-s	Jónsdóttir
Stefán	nken-s	Stefán
Örn	nken-s	Örn
Einarsson	nken-s	Einarsson
Endurvinnslustöð	nven	endurvinnslustöð
við	ao	við
Blíðubakka	nkeo-s	Blíðubakki
Stöðin	nveng	stöð
er	sfg3en	vera
í	aþ	í
Mosfellsbæ	nkeþ-s	Mosfellsbær
,	,	,
Blíðubakka	nkeþ-s	Blíðubakki
við	ao	við
hesthúsbyggð	nveo	hesthúsbyggð
.	.	.
Afgreiðslutími	nken	afgreiðslutími
stöðvarinnar	nveeg	stöð
er	sfg3en	vera
sem	ct	sem
hér	aa	hér
segir	sfg3en	segja
:	:	:
VIRKA	lkfosf	virkur
DAGA	nkfo	dagur
:	:	:
Frá	aa	frá
12:30	ta	12:30
-	-	-
19:30	ta	19:30
HELGAR	nvfn	helgi
:	:	:
Frá	aa	frá
kl.	as	kl.
10:00	ta	10:00
-	-	-
18:30	ta	18:30
Umsjónarmenn	nkfn	umsjónarmaður
endurvinnslustöðva	nvfe	endurvinnslustöð
eru	sfg3fn	vera
:	:	:
Steinunn	nven-s	Steinunn
Jónsdóttir	nven-s	Jónsdóttir
Stefán	nken-s	Stefán
Örn	nken-s	Örn
Einarsson	nken-s	Einarsson
Móttökustöðin	nveng	móttökustöð
í	aþ	í
Gufunesi	nheþ-s	Gufunes
Afgreiðslutími	nken	afgreiðslutími
er	sfg3en	vera
frá	aþ	frá
7.30-18.00	ta	7.30-18.00
alla	fokfo	allur
virka	lkfosf	virkur
daga	nkfo	dagur
og	c	og
frá	aþ	frá
10.00-18.00	ta	10.00-18.00
á	aþ	á
laugardögum	nkfþ	laugardagur
.	.	.
Móttökustöð	nven	móttökustöð
SORPU	nvee-s	Sorpa
er	sfg3en	vera
staðsett	lvensf	staðsettur
í	aþ	í
Gufunesi	nheþ-s	Gufunes
,	,	,
þar	aa	þar
er	sfg3en	vera
tekið	sþghen	taka
á	aa	á
móti	aþ	móti
öllum	fokeþ	allur
úrgangi	nkeþ	úrgangur
frá	aþ	frá
höfuðborgarsvæðinu	nheþg	höfuðborgarsvæði
.	.	.
Má	sfg3en	mega
þar	aa	þar
fyrst	aae	fyrr
nefna	sng	nefna
úrgang	nkeo	úrgangur
frá	aþ	frá
heimilum	nhfþ	heimili
en	c	en
það	fphen	það
er	sfg3en	vera
að	aþ	að
stórum	lkeþsf	stór
hluta	nkeþ	hluti
svokallað	lhensf	svokallaður
húsasorp	nhen	húsasorp
eða	c	eða
heimilissorp	nhen	heimilissorp
.	.	.
Einnig	aa	einnig
berst	sfm3en	bera
til	ae	til
stöðvarinnar	nveeg	stöð
mikið	lhensf	mikill
af	aþ	af
ýmisskonar	lkeþsf	ýmisskonar
iðnaðarúrgangur	x	iðnaðarúrgangur
frá	aþ	frá
fyrirtækjum	nhfþ	fyrirtæki
.	.	.
Þess	fphee	það
má	sfg3en	mega
geta	sng	geta
að	c	að
á	aþ	á
árinu	nheþg	ár
2004	ta	2004
fóru	sfg3fþ	fara
um	aa	um
101.300	ta	101.300
tonn	nhfn	tonn
af	aþ	af
úrgangi	nkeþ	úrgangur
í	aa	í
gegnum	ao	gegnum
stöðina	nveog	stöð
.	.	.
Allur	foken	allur
þessi	faken	þessi
úrgangur	nken	úrgangur
er	sfg3en	vera
flokkaður	sþgken	flokka
og	c	og
baggaður	sþgken	bagga
eftir	aþ	eftir
fremsta	lheþve	fremri
megni	nheþ	megn
,	,	,
en	c	en
reynt	sþghen	reyna
er	sfg3en	vera
að	cn	að
endurnýta	sng	endurnýta
/	/	/
-vinna	sng	-vinna
sem	ct	sem
stærstan	lkeose	stór
hluta	nkeo	hluti
hans	fpkee	hann
.	.	.
Fyrirtækin	nhfng	fyrirtæki
sem	aa	sem
og	c	og
einstaklingar	nkfn	einstaklingur
greiða	sfg3fn	greiða
fyrir	ao	fyrir
hverja	foveo	hver
losun	nveo	losun
samkvæmt	aþ	samkvæmt
gjaldskrá	nveþ	gjaldskrá
.	.	.
Starfsemi	nven	starfsemi
stöðvarinnar	nveeg	stöð
framfylgir	sfg3en	framfylgja
lögum	nhfþ	lag
og	c	og
reglugerðum	nvfþ	reglugerð
um	ao	um
sorpmeðhöndlun	nveo	sorpmeðhöndlun
og	c	og
fer	sfg3en	fara
allt	fohen	allur
frárennslisvatn	nhen	frárennslisvatn
frá	aþ	frá
stöðinni	nveþg	stöð
í	aa	í
gegnum	ao	gegnum
þrefalt	lheosf	þrefaldur
vatnshreinsikerfi	nheo	vatnshreinsikerfi
áður	aa	áður
en	c	en
það	fphen	það
er	sfg3en	vera
leitt	sþghen	leiða
til	ae	til
sjávar	nkee	sjár
.	.	.
Mengun	nven	mengun
hefur	sfg3en	hafa
aldrei	aa	aldrei
mælst	ssm	mæla
í	aþ	í
sjónum	nkeþg	sjór
neðan	aa	neðan
við	ao	við
stöðina	nveog	stöð
en	c	en
sýni	nhfn	sýni
eru	sfg3fn	vera
tekin	sþghfn	taka
þar	aa	þar
reglulega	aa	reglulega
.	.	.
Móttökustöðin	nveng	móttökustöð
er	sfg3en	vera
einnig	aa	einnig
endastöð	nven	endastöð
hluta	nkee	hluti
þess	fakee	sá
úrgangs	nkee	úrgangur
er	ct	er
berst	sfm3en	bera
inn	aa	inn
til	ae	til
endurvinnslustöðvanna	nvfeg	endurvinnslustöð
.	.	.
Skref	nhen	skref
fyrir	ao	fyrir
skref	nheo	skref
í	aa	í
gegnum	ao	gegnum
móttöku-	nveog	móttökustöð
og	c	og
flokkunarstöðina	nveog	flokkunarstöð
í	aþ	í
Gufunesi	nheþ-s	Gufunes
Leiðbeiningar	nvfn	leiðbeining
um	ao	um
hvernig	aa	hvernig
skal	sfg3en	skulu
bera	sng	bera
sig	fpkeo	sig
að	aa	að
:	:	:
1	ta	1
)	)	)
Komið	sþghen	koma
er	sfg3en	vera
með	ao	með
úrgang	nkeo	úrgangur
í	ao	í
móttökustöðina	nveog	móttökustöð
í	aþ	í
Gufunesi	nheþ-s	Gufunes
.	.	.
Áður	aa	áður
en	c	en
komið	sþghen	koma
er	sfg3en	vera
inn	aa	inn
í	ao	í
móttökustöð	nveo	móttökustöð
þarf	sfg3en	þurfa
að	cn	að
fara	sng	fara
yfir	ao	yfir
vigt	nveo	vigt
og	c	og
fer	sfg3en	fara
aðeins	aa	aðeins
einn	tfken	einn
bíll	nken	bíll
á	ao	á
vigt	nveo	vigt
í	aþ	í
einu	lheþsf	einn
.	.	.
Nýir	lkfnsf	nýr
viðskiptavinir	nkfn	viðskiptavinur
og	c	og
þeir	fakfn	sá
aðilar	nkfn	aðili
sem	ct	sem
ekki	aa	ekki
eru	sfg3fn	vera
í	aþ	í
föstum	lhfþsf	fastur
viðskiptum	nhfþ	viðskipti
gefa	sfg3fn	gefa
sig	fpkfo	sig
fram	aa	fram
við	ao	við
starfsmann	nkeo	starfsmaður
vigtar	nvee	vigt
.	.	.
Þeir	fpkfn	hann
fá	sfg3fn	fá
afhent	ssg	afhenda
svokallað	lheosf	svokallaður
gestakort	nheo	gestakort
sem	ct	sem
starfsmaður	nken	starfsmaður
hefur	sfg3en	hafa
skráð	ssg	skrá
upplýsingar	nvfo	upplýsing
inn	aa	inn
á	aa	á
,	,	,
þ.m.t.	as	þ.m.t.
þyngd	nveo	þyngd
bílsins	nkeeg	bíll
.	.	.
Starfsmaður	nken	starfsmaður
veitir	sfg3en	veita
svo	aa	svo
upplýsingar	nvfo	upplýsing
um	aa	um
hvar	aa	hvar
skal	sfg3en	skulu
losa	sng	losa
úrganginn	nkeog	úrgangur
.	.	.
Aðilar	nkfn	aðili
í	aþ	í
föstum	lhfþsf	fastur
viðskiptum	nhfþ	viðskipti
eru	sfg3fn	vera
með	ao	með
viðskiptakort	nheo	viðskiptakort
sem	ct	sem
rennt	sþghen	renna
er	sfg3en	vera
í	aa	í
gegnum	ao	gegnum
lesara	nkeo	lesari
á	aþ	á
vigt	nveþ	vigt
.	.	.
Þetta	fahen	þessi
ferli	nhen	ferli
er	sfg3en	vera
sjálfvirkt	lhensf	sjálfvirkur
.	.	.
2	ta	2
)	)	)
Bíll	nken	bíll
fer	sfg3en	fara
inn	aa	inn
á	ao	á
gólf	nheo	gólf
móttökustöðvar	nvee	móttökustöð
eða	c	eða
flokkunarplan	nheo	flokkunarplan
(	(	(
eftir	aþ	eftir
leiðbeiningu	nveþ	leiðbeining
frá	aþ	frá
starfsmanni	nkeþ	starfsmaður
vigtar	nvee	vigt
)	)	)
.	.	.
3	ta	3
)	)	)
Starfsmaður	nken	starfsmaður
á	aþ	á
gólfi	nheþ	gólf
eða	c	eða
á	aþ	á
plani	nheþ	plan
tekur	sfg3en	taka
á	aa	á
móti	aþ	móti
viðskiptavini	nkeþ	viðskiptavinur
og	c	og
leiðbeinir	sfg3en	leiðbeina
um	ao	um
losun	nveo	losun
.	.	.
Stafsmaður	nken	stafsmaður
tekur	sfg3en	taka
viðskipta-	nheog	viðskiptakort
/	/	/
gestakortið	nheog	gestakort
og	c	og
skráir	sfg3en	skrá
í	ao	í
hvaða	fskeo	hvaða
flokk	nkeo	flokkur
úrgangurinn	nkeng	úrgangur
sem	ct	sem
komið	sþghen	koma
var	sfg3eþ	vera
með	aa	með
flokkast	sfm3en	flokka
,	,	,
hvort	c	hvort
svo	aa	svo
sem	c	sem
það	fphen	það
er	sfg3en	vera
í	aþ	í
stöðinni	nveþg	stöð
eða	c	eða
á	aþ	á
plani	nheþ	plan
.	.	.
Þegar	c	þegar
búið	lhensf	búinn
er	sfg3en	vera
að	cn	að
losa	sng	losa
farminn	nkeog	farmur
fara	sfg3fn	fara
aðilar	nkfn	aðili
með	ao	með
gestakort	nhfo	gestakort
á	ao	á
vigt	nveo	vigt
A	nheo	a
þar	aa	þar
sem	c	sem
bíllinn	nkeng	bíll
er	sfg3en	vera
vigtaður	sþgken	vigta
á	aþ	á
útleið	nveþ	útleið
.	.	.
Þar	aa	þar
skila	sfg3fn	skila
þeir	fpkfn	hann
kortinu	nheþg	kort
til	ae	til
starfmanns	nkee	starfmaður
vigtar	nvee	vigt
sem	ct	sem
tekur	sfg3en	taka
kortið	nheog	kort
og	c	og
rennir	sfg3en	renna
því	fpheþ	það
í	aa	í
gegnum	ao	gegnum
lesara	nkeo	lesari
og	c	og
innheimtir	sfg3en	innheimta
greiðslu	nveo	greiðsla
fyrir	ao	fyrir
losun	nveo	losun
.	.	.
Aðilar	nkfn	aðili
með	ao	með
viðskiptakort	nhfo	viðskiptakort
fara	sfg3fn	fara
á	ao	á
vigt	nveo	vigt
B	nheo	b
á	aþ	á
útleið	nveþ	útleið
þar	aa	þar
sem	c	sem
ferlið	nheng	ferli
er	sfg3en	vera
sjálfvirkt	lhensf	sjálfvirkur
.	.	.
Þar	aa	þar
renna	sfg3fn	renna
þeir	fpkfn	hann
kortinu	nheþg	kort
í	aa	í
gegnum	ao	gegnum
lesarann	nkeog	lesari
og	c	og
fá	sng	fá
kvittun	nveo	kvittun
.	.	.
Urðunarstaður	nken	urðunarstaður
Urðunarstaður	nken	urðunarstaður
SORPU	nvee-s	Sorpa
er	sfg3en	vera
í	aþ	í
Álfsnesi	nheþ-s	Álfsnes
,	,	,
sem	ct	sem
er	sfg3en	vera
um	aa	um
20	ta	20
kílómetra	nkfo	kílómetri
frá	aþ	frá
Móttökustöðinni	nveþgs	Móttökustöð
á	aþ	á
Gufunesi	nheþ-s	Gufunes
.	.	.
Þangað	aa	þangað
eru	sfg3fn	vera
flutt	sþghfn	flytja
að	aþ	að
meðaltali	nheþ	meðaltal
500-550	ta	500-550
tonn	nhfn	tonn
á	ao	á
dag	nkeo	dagur
af	aþ	af
bögguðu	lheþsf	baggaður
húsa-	nheþ	húsasorp
og	c	og
iðnaðarsorpi	nheþ	iðnaðarsorp
og	c	og
um	aa	um
150	ta	150
tonn	nhfn	tonn
á	ao	á
dag	nkeo	dagur
af	aþ	af
óbagganlegu	lheþsf	óbagganlegur
sorpi	nheþ	sorp
.	.	.
Sorpbaggarnir	nkfng	sorpbaggi
eru	sfg3fn	vera
fluttir	sþgkfn	flytja
frá	aþ	frá
móttökustöðinni	nveþg	móttökustöð
á	aþ	á
sérstökum	lkfþsf	sérstakur
vögnum	nkfþ	vagn
.	.	.
Í	aþ	í
Álfsnesi	nheþ-s	Álfsnes
vinna	sfg3fn	vinna
að	aþ	að
jafnaði	nkeþ	jafnaður
6	ta	6
manns	nkee	maður
og	c	og
má	sfg3en	mega
skipta	sng	skipta
starfseminni	nveþg	starfsemi
í	ao	í
þrjá	tfkfo	þrír
megin	aa	megin
hluta	nkeo	hluti
:	:	:
URÐUN	nven	urðun
MOLTUGERÐ	nven	moltugerð
GASSÖFNUN	nven	gassöfnun
Urðun	nven	urðun
Sorpurðunin	nveng	sorpurðun
fer	sfg3en	fara
fram	aa	fram
á	ao	á
mjög	aa	mjög
skipulagðan	lkeosf	skipulagður
hátt	nkeo	háttur
.	.	.
Urðunarsvæðinu	nheþg	urðunarsvæði
er	sfg3en	vera
skipt	sþghen	skipta
upp	aa	upp
í	ao	í
ílangar	lvfosf	ílangur
40	ta	40
metra	nkfe	metri
breiðar	lvfosf	breiður
reinar	nvfo	rein
og	c	og
er	sfg3en	vera
urðað	sþghen	urða
í	ao	í
eina	tfveo	einn
rein	nveo	rein
í	aþ	í
einu	lheþsf	einn
.	.	.
Sorpböggunum	nkfþg	sorpbaggi
er	sfg3en	vera
raðað	sþghen	raða
í	ao	í
þessar	favfo	þessi
reinar	nvfo	rein
og	c	og
er	sfg3en	vera
hæð	nven	hæð
sorpstálsins	nheeg	sorpstál
allt	fohen	allur
upp	aa	upp
í	ao	í
26	ta	26
m.	as	m.
Að	aþ	að
lokum	nhfþ	lok
er	sfg3en	vera
sorpið	nheng	sorp
síðan	aa	síðan
hulið	sþghen	hylja
með	aþ	með
1,0	ta	1,0
-	-	-
1,5	ta	1,5
m	as	m
þykku	lheþsf	þykkur
lagi	nheþ	lag
af	aþ	af
jarðvegi	nkeþ	jarðvegur
.	.	.
Þegar	c	þegar
lokið	sþghen	ljúka
er	sfg3en	vera
við	ao	við
að	cn	að
urða	sng	urða
í	ao	í
nokkrar	fovfo	nokkur
reinar	nvfo	rein
,	,	,
er	sfg3en	vera
sáð	sþghen	sá
í	ao	í
landið	nheog	land
.	.	.
Í	aþ	í
framtíðinn	x	framtíð
er	sfg3en	vera
síðan	aa	síðan
gert	sþghen	gera
ráð	nhen	ráð
fyrir	aþ	fyrir
að	cn	að
planta	sng	planta
trjám	nhfþ	tré
í	ao	í
topp	nkeo	toppur
urðunarsvæðisins	nheeg	urðunarsvæði
.	.	.
Við	aa	við
og	c	og
á	aþ	á
urðunarsvæðum	nhfþ	urðunarsvæði
þarf	sfg3en	þurfa
sérstaklega	aa	sérstaklega
að	cn	að
gæta	sng	gæta
að	aþ	að
fjórum	tfhfþ	fjórir
umhverfisatriðum	nhfþ	umhverfisatriði
:	:	:
Sigvatni	nheþ	sigvatn
Gasmyndun	nven	gasmyndun
Foki	nheþ	fok
Meindýrum	nhfþ	meindýr
Sigvatn	nhen	sigvatn
kemur	sfg3en	koma
aðallega	aa	aðallega
frá	aþ	frá
tveimur	tfvfþ	tveir
uppsprettum	nvfþ	uppspretta
.	.	.
Í	aþ	í
fyrsta	lheþve	fyrstur
lagi	nheþ	lag
losnar	sfg3en	losna
vökvi	nken	vökvi
úr	aþ	úr
sjálfu	fbheþ	sjálfur
sorpinu	nheþg	sorp
og	c	og
í	aþ	í
öðru	lheþsf	öðr
lagi	nheþ	lag
ofanvatn	nhen	ofanvatn
(	(	(
ofankoma	nven	ofankoma
)	)	)
sem	ct	sem
getur	sfg3en	geta
sigið	ssg	síga
í	aa	í
gegnum	ao	gegnum
sorpið	nheog	sorp
.	.	.
Lítill	lkensf	lítill
hluti	nken	hluti
getur	sfg3en	geta
síðan	aa	síðan
verið	ssg	vera
grunnvatn	nhen	grunnvatn
sem	ct	sem
getur	sfg3en	geta
hugsanlega	aa	hugsanlega
þrengt	ssg	þrengja
sér	fpheþ	sig
gegnum	ao	gegnum
botn	nkeo	botn
urðunarsvæðisins	nheeg	urðunarsvæði
eða	c	eða
komið	ssg	koma
frá	aþ	frá
nánasta	lheþve	náinn
umhverfi	nheþ	umhverfi
.	.	.
Sigvatninu	nheþg	sigvatn
þarf	sfg3en	þurfa
að	cn	að
fylgjast	snm	fylgja
með	aþ	með
,	,	,
því	fpheþ	það
efni	nhfn	efni
í	aþ	í
sorpinu	nheþg	sorp
geta	sfg3fn	geta
verið	ssg	vera
í	aþ	í
sigvatninu	nheþg	sigvatn
.	.	.
SORPA	nven-s	Sorpa
hefur	sfg3en	hafa
frá	aþ	frá
upphafi	nheþ	upphaf
fylgst	ssm	fylgja
með	aþ	með
mörgum	lkfþsf	margur
efnis-	nkfþ	efniseiginleiki
og	c	og
eðliseiginleikum	nkfþ	eðliseiginleiki
sigvatnsins	nheeg	sigvatn
án	ae	án
þess	fphee	það
að	c	að
nokkuð	fohen	nokkur
hafi	svg3en	hafa
komið	ssg	koma
í	ao	í
ljós	nheo	ljós
sem	ct	sem
valdið	ssg	valda
getur	sfg3en	geta
áhyggjum	nvfþ	áhyggja
.	.	.
Einnig	aa	einnig
hefur	sfg3en	hafa
verið	ssg	vera
fylgst	sþmhen	fylgja
með	aþ	með
þungmálmum	nkfþ	þungmálmur
í	aþ	í
sjávargróðri	nkeþ	sjávargróður
utan	aa	utan
við	ao	við
