sýnis	nhee	sýni
250.000	ta	250.000
.	.	.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
848	ta	848
6248	ta	6248
.	.	.

Til	ae	til
sölu	nvee	sala
VW	as	VW
Golf	e	Golf
árg.	as	árg.
1994	ta	1994
ekinn	lkensf	ekinn
167	ta	167
þús.	as	þús.
km	as	km
.	.	.

Skoðaður	lkensf	skoðaður
2004	ta	2004
.	.	.

Verð	nhen	verð
375	ta	375
þús.	as	þús.

Sími	nken	sími
898	ta	898
5434	ta	5434
.	.	.

Til	ae	til
sölu	nvee	sala
Chevrolet	e	Chevrolet
Blazer	e	Blazer
S	e	S
10	ta	10
,	,	,
upphækkaður	lkensf	upphækkaður
.	.	.

Ekki	aa	ekki
á	aþ	á
númerum	nhfþ	númer
.	.	.

Verð	nhen	verð
250.000	ta	250.000
.	.	.

Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími
869	ta	869
4721	ta	4721
.	.	.

Honda	e	Honda
Civic	e	Civic
Dsi	e	Dsi
'	'	'
95	ta	95
.	.	.

5	ta	5
g	as	g
,	,	,
4ra	ta	4ra
d	nhen	d
,	,	,
ek.	as	ek.
140	ta	140
þús.	as	þús.
km	as	km
.	.	.

Dökkgrár	lkensf	dökkgrár
,	,	,
sk.	as	sk.
'	'	'
05	ta	05
.	.	.

Verð	nhen	verð
480.000	ta	480.000
.	.	.

Ath.	as	Ath.
skipti	nhfo	skipti
á	aþ	á
ód.	as	ód.

S.	as	s.
690	ta	690
2577	ta	2577
.	.	.

TILBOÐ	nhen	tilboð
!	!	!

Ford	e	Ford
Escort	e	Escort
station	e	station
'	'	'
98	ta	98
ekinn	lkensf	ekinn
93	ta	93
þús.	as	þús.

Listaverð	nhen	listaverð
590	ta	590
þús.	as	þús.

Verð	nhen	verð
390.000	ta	390.000
kr.	as	kr.

S.	as	s.
660	ta	660
1055	ta	1055
.	.	.

Benz	e	Benz
200	ta	200
'	'	'
87	ta	87
.	.	.

ek.	as	ek.
291	ta	291
þ.	as	þ.

Ssk	as	Ssk
.	.	.

sk.	as	sk.
'	'	'
05	ta	05
.	.	.

Silfurlitaður	lkensf	silfurlitaður
.	.	.

Álfelgur	nvfn	álfelga
.	.	.

Toppeintak	nhen	toppeintak
.	.	.

S.	as	s.
898	ta	898
2038	ta	2038
.	.	.

Honda	e	Honda
Civic	e	Civic
'	'	'
92	ta	92
,	,	,
3ja	ta	3ja
dyra	nvfe	dyr
,	,	,
15	ta	15
álfelgur	nvfn	álfelga
,	,	,
þjófavörn	nven	þjófavörn
og	c	og
geislasp.	as	geislasp.

Verð	nhen	verð
330	ta	330
þ.	as	þ.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
844	ta	844
4984	ta	4984
.	.	.

VW	as	VW
Golf	e	Golf
árg.	as	árg.
'	'	'
95	ta	95
,	,	,
ekinn	lkensf	ekinn
123	ta	123
þús.	as	þús.

Mjög	aa	mjög
vel	aa	vel
með	aa	með
farinn	lkensf	farinn
bíll	nken	bíll
.	.	.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
849	ta	849
6669	ta	6669
.	.	.

Mazda	e	Mazda
323	ta	323
,	,	,
1.3	ta	1.3
16	ta	16
v	x	v
,	,	,
árgerð	nven	árgerð
'	'	'
95	ta	95
.	.	.

3ja	ta	3ja
dyra	nvfe	dyr
.	.	.

Keyrður	lkensf	keyrður
102	ta	102
þús.	as	þús.

Verð	nhen	verð
270	ta	270
þús.	as	þús.

Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
561	ta	561
6133	ta	6133
.	.	.

Willys	e	Willys
CJ-7	ta	CJ-7
árg.	as	árg.
'	'	'
80	ta	80
.	.	.

Í	aþ	í
góðu	lheþsf	góður
standi	nheþ	stand
en	c	en
þarfnast	sfm3en	þarfnast
smá	lvfeof	smá
lagfæringa	nvfe	lagfæring
.	.	.

Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
846	ta	846
1290	ta	1290
.	.	.

Volkswagen	e	Volkswagen
Golf	e	Golf
1.4	ta	1.4
árg.	as	árg.
'	'	'
95	ta	95
ekinn	lkensf	ekinn
130	ta	130
þ.	as	þ.

Lítur	sfg3en	líta
mjög	aa	mjög
vel	aa	vel
út	aa	út
,	,	,
blár	lkensf	blár
.	.	.

Verð	nhen	verð
350	ta	350
þ.	as	þ.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
696	ta	696
0738	ta	0738
.	.	.

Daihatsu	e	Daihatsu
Sirion	e	Sirion
CX	e	CX
1000	ta	1000
árg.	as	árg.
'	'	'
98	ta	98
,	,	,
ek.	as	ek.
66	ta	66
þús.	as	þús.

Áhv.	as	áhv.
lán	nhen	lán
170	ta	170
þús.	as	þús.

Listaverð	nhen	listaverð
480	ta	480
þús.	as	þús.

Sumar-	nhfn	sumardekk
og	c	og
vetrardekk	nhfn	vetrardekk
.	.	.

Skoða	sfg1en	skoða
öll	fohfo	allur
tilboð	nhfo	tilboð
,	,	,
engin	fohfo	enginn
skipti	nhfo	skipti
.	.	.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
898	ta	898
9555	ta	9555
.	.	.

Ford	e	Ford
Escort	e	Escort
Ghia	e	Ghia
árg.	as	árg.
'	'	'
96	ta	96
,	,	,
ek.	as	ek.
84	ta	84
þús.	as	þús.

4ra	ta	4ra
dyra	nvfe	dyr
,	,	,
rafmagn	nhen	rafmagn
í	aþ	í
rúðum	nvfþ	rúða
,	,	,
CD	as	CD
,	,	,
viðarmælaborð	nhen	viðarmælaborð
,	,	,
topplúga	nven	topplúga
,	,	,
mjög	aa	mjög
vel	aa	vel
með	aa	með
farinn	lkensf	farinn
.	.	.

Verð	nhen	verð
390	ta	390
þús.	as	þús.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
892	ta	892
3715	ta	3715
&	c	&
663	ta	663
7715	ta	7715
.	.	.

Lækkað	lhensf	lækkaður
verð	nhen	verð
,	,	,
blæju	nvee	blæja
Escort	e	Escort
,	,	,
uppg.	as	uppg.
fyrir	ao	fyrir
1400	ta	1400
þ.	as	þ.
þar	aa	þar
af	aa	af
hljómtæki	nhen	hljómtæki
um	aa	um
800	ta	800
þ.	as	þ.

Var	sfg3eþ	vera
1.090	ta	1.090
þ.	as	þ.
,	,	,
nú	aa	nú
650	ta	650
þ.	as	þ.
stgr	as	stgr
.	.	.

S.	as	s.
895	ta	895
9505	ta	9505
.	.	.

Glæsilegt	lhensf	glæsilegur
eintak	nhen	eintak
.	.	.

Camaro	e	Camaro
'	'	'
94	ta	94
V8	ta	V8
275	ta	275
hö	x	hö
,	,	,
6	ta	6
gíra	nkfe	gír
beinsk.	as	beinsk.
,	,	,
t	nhen	t
toppur	nken	toppur
.	.	.

V.	as	V.
1150	ta	1150
þús.	as	þús.
,	,	,
950	ta	950
þús.	as	þús.
stgr	as	stgr
.	.	.

Bill.is	v	bill.is
-	-	-
sími	nken	sími
577	ta	577
3777	ta	3777
.	.	.

Vel	aa	vel
með	aa	með
farinn	lkensf	farinn
Toyota	e	Toyota
Yaris	e	Yaris
,	,	,
rauður	lkensf	rauður
,	,	,
árg.	as	árg.

2000	ta	2000
,	,	,
tveggja	tfvfe	tveir
dyra	nvfe	dyr
,	,	,
ekinn	lkensf	ekinn
43.000	ta	43.000
km	as	km
.	.	.

Sumar-	nhfn	sumardekk
og	c	og
Vetrardekk	nhfn	vetrardekk
.	.	.

Verð	nhen	verð
780	ta	780
þús.	as	þús.

Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
820-6368	ta	820-6368
.	.	.

VW	as	VW
Passat	e	Passat
1998	ta	1998
.	.	.

Sjálfskiptur	lkensf	sjálfskiptur
,	,	,
ABS	as	ABS
,	,	,
silfurgrár	lkensf	silfurgrár
,	,	,
kúla	nven	kúla
,	,	,
ný	lvensf	nýr
tímareim	nven	tímareim
.	.	.

Ekinn	lkensf	ekinn
97	ta	97
þ.	as	þ.

Verð	nhen	verð
980.000	ta	980.000
,	,	,
Áhv.	as	áhv.
300	ta	300
þ.	as	þ.

SP	as	SP
fjárm.	as	fjárm.

Sími	nken	sími
693	ta	693
4333	ta	4333
.	.	.

MMC	as	MMC
Carisma	e	Carisma
GLX	e	GLX
1999	ta	1999
ekinn	lkensf	ekinn
79	ta	79
þús.	as	þús.

Sjálfsk.	as	sjálfsk.

Ásett	lhensf	ásettur
verð	nhen	verð
840	ta	840
þús.	as	þús.

Áhv.	as	áhv.
440	ta	440
þús.	as	þús.

S.	as	s.
695	ta	695
5504	ta	5504
.	.	.

Glæsilegur	lkensf	glæsilegur
BMW	as	BMW
325i	ta	325i
á	aþ	á
góðu	lheþsf	góður
verði	nheþ	verð
árg.	as	árg.
'	'	'
91	ta	91
.	.	.

Verð	nhen	verð
650	ta	650
þús.	as	þús.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
867	ta	867
8230	ta	8230
.	.	.

MMC	as	MMC
Galant	e	Galant
2000	ta	2000
GLSi	e	GLSi
,	,	,
árg.	as	árg.
22/05/96	ta	22/05/96
,	,	,
ek.	as	ek.
aðeins	aa	aðeins
90	ta	90
þ.	as	þ.
,	,	,
ssk.	as	ssk.
,	,	,
álfelgur	nvfn	álfelga
.	.	.

Einn	foken	einn
með	aþ	með
öllu	foheþ	allur
,	,	,
algjör	lkensf	algjör
dekurbíll	nken	dekurbíll
.	.	.

Skipti	nhfn	skipti
koma	sfg3fn	koma
til	ae	til
greina	nvfe	grein
á	aþ	á
ódýrari	lkeþvm	ódýr
,	,	,
helst	aae	heldur
Toyotu	e	Toyotu
.	.	.

Sími	nken	sími
487	ta	487
5838	ta	5838
&	c	&
892	ta	892
5837	ta	5837
.	.	.

VW	as	VW
Caddy	e	Caddy
'	'	'
00	ta	00
,	,	,
ek.	as	ek.
32	ta	32
þ.	as	þ.
nýsk.	as	nýsk.

2	ta	2
umgangar	nkfn	umgangur
af	aþ	af
dekkjum	nhfþ	dekk
.	.	.

VSK	as	VSK
bíll	nken	bíll
.	.	.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.

820	ta	820
0625	ta	0625
&	c	&
533	ta	533
3222	ta	3222
.	.	.

MMC	as	MMC
Lancer	e	Lancer
Glx	e	Glx
Royale	e	Royale
'	'	'
99	ta	99
ek.	as	ek.
97	ta	97
þús.	as	þús.

1300	ta	1300
cc	as	cc
,	,	,
mjög	aa	mjög
hagkvæmur	lkensf	hagkvæmur
og	c	og
góður	lkensf	góður
bíll	nken	bíll
.	.	.

Ný	lvensf	nýr
tímareim	nven	tímareim
og	c	og
sk.	as	sk.
'	'	'
05	ta	05
.	.	.

Tilboð	nhfn	tilboð
óskast	sfm3fn	óska
.	.	.

Ath.	as	Ath.
skipti	nhfo	skipti
.	.	.

S.	as	s.
848	ta	848
4265	ta	4265
.	.	.

BMW	as	BMW
318	ta	318
is	x	is
'	'	'
96	ta	96
M-útlit	nhen	m-útlit
.	.	.

ek.	as	ek.
127	ta	127
þ.	as	þ.

Þjónustub.	as	þjónustub.

16+17	ta	16+17
»	»	»
álf	x	álf
.	.	.

Hlaðinn	lkensf	hlaðinn
aukabúnaði	nkeþ	aukabúnaður
frá	aþ	frá
BMW	as	BMW
.	.	.

Gífurlega	aa	gífurlega
vel	aa	vel
með	aa	með
farið	lhensf	farinn
eintak	nhen	eintak
,	,	,
sjón	nven	sjón
er	sfg3en	vera
sögu	nveþ	saga
ríkari	lvenvm	ríkur
.	.	.

Tilboð	nhen	tilboð
S.	as	s.
868	ta	868
7326	ta	7326
.	.	.

Renault	e	Renault
Sénic	e	Sénic
'	'	'
99	ta	99
ekinn	lkensf	ekinn
113	ta	113
þ.	as	þ.
,	,	,
ABS	as	ABS
,	,	,
beinskiptur	lkensf	beinskiptur
,	,	,
fjarst.	as	fjarst.
samlæsingar	nvfn	samlæsing
,	,	,
dráttarkrókur	nken	dráttarkrókur
,	,	,
þjónustubók	nven	þjónustubók
.	.	.

Tilboðsverð	nhen	tilboðsverð
800	ta	800
þ.	as	þ.

Uppl.	as	uppl.
í	aþ	í
síma	nkeþ	sími
664	ta	664
3242	ta	3242
.	.	.

Toyota	e	Toyota
Yaris	e	Yaris
'	'	'
99	ta	99
ek.	as	ek.
95	ta	95
þ.	as	þ.

Hálfsjálfsk.	as	hálfsjálfsk.

Sumar	nhen	sumar
/	/	/
vetrard.	as	vetrard.
á	aþ	á
felg.	as	felgur

620	ta	620
þ.	as	þ.
stgr	as	stgr
.	.	.

S.	as	s.
820	ta	820
8464	ta	8464
.	.	.

Til	ae	til
sölu	nvee	sala
Toyota	e	Toyota
Corolla	e	Corolla
Touring	e	Touring
4x4	ta	4x4
árg.	as	árg.
'	'	'
99	ta	99
.	.	.

Ekinn	lkensf	ekinn
103	ta	103
þús.	as	þús.

Bíll	nken	bíll
í	aþ	í
fínu	lheþsf	fínn
standi	nheþ	stand
,	,	,
verð	nhen	verð
kr.	as	kr.
910	ta	910
þús.	as	þús.

Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími

894	ta	894
7864	ta	7864
eða	c	eða
e-mail	nheo	e-mail
ein@simnet.is	v	ein@simnet.is
Chrysler	e	Chrysler
LHS	e	LHS
1994	ta	1994
.	.	.

ek.	as	ek.
105	ta	105
þ.	as	þ.
mílur	nvfo	míla
V6	x	v6
3.5	ta	3.5
l.	as	l.

Eyðslugrannur	lkensf	eyðslugrannur
,	,	,
rafmagn	nhen	rafmagn
í	aþ	í
rúðum	nvfþ	rúða
,	,	,
speglum	nkfþ	spegill
,	,	,
sætum	nhfþ	sæti
,	,	,
topplúgu	nveþ	topplúga
,	,	,
leður	nhen	leður
spólvörn	nven	spólvörn
,	,	,
ABS	as	ABS
,	,	,
smurður	sþgken	smyrja
reglulega	aa	reglulega
,	,	,
ekkert	fohen	enginn
salt	nhen	salt
.	.	.

Skoðaður	sþgken	skoða
05	ta	05
.	.	.

Verð	nhen	verð
890	ta	890
þ.	as	þ.

Skipti	nhfn	skipti
á	aþ	á
ódýrari	lkeþvm	ódýr
,	,	,
gjarnan	aa	gjarnan
2	ta	2
dyra	nvfe	dyr
pick	e	pick
up	e	up
.	.	.

Sími	nken	sími
895	ta	895
2805	ta	2805
.	.	.

Yamaha	e	Yamaha
WR450	ta	WR450
.	.	.

Keyrt	lhensf	keyrður
1300	ta	1300
km	as	km
,	,	,
ágúst	nkeþ	ágúst
'	'	'
03	ta	03
.	.	.

Ný	lhfnsf	nýr
S12	x	s12
dekk	nhfn	dekk
.	.	.

Í	aþ	í
toppstandi	nheþ	toppstand
.	.	.

863	ta	863
4328	ta	4328
eftir	ao	eftir
kl.	as	kl.
18	ta	18
.	.	.

Verð	sfg1en	verða
að	cn	að
losna	sng	losna
við	ao	við
hann	fpkeo	hann
!	!	!

Vegna	ae	vegna
fjárhagslegra	lkfesf	fjárhagslegur
örðugleika	nkfe	örðugleiki
,	,	,
verður	sfg3en	verða
þessi	faken	þessi
glæsilegi	lkenvf	glæsilegur
Opel	e	Opel
Corsa	e	Corsa
árg.	as	árg.
2000	ta	2000
,	,	,
seldur	sþgken	selja
á	aþ	á
hlægilegu	lheþsf	hlægilegur
verði	nheþ	verð
.	.	.

Mjög	aa	mjög
vel	aa	vel
með	aa	með
farinn	lkensf	farinn
,	,	,
ekinn	lkensf	ekinn
76.	ta	76.
þús	x	þús
,	,	,
áhvílandi	lhfnof	áhvílandi
130	ta	130
þús.	as	þús.
,	,	,
listaverð	nhen	listaverð
úr	aþ	úr
umboði	nheþ	umboð
650	ta	650
þús.	as	þús.

Tilboð	nhfn	tilboð
óskast	sfm3fn	óska
.	.	.

Uppl.	as	uppl.
Bogga	nven-s	Bogga
sími	nken	sími
695	ta	695
1878	ta	1878
.	.	.

Explorer	e	Explorer
XLT	e	XLT
'	'	'
94	ta	94
,	,	,
31	ta	31
til	ae	til
sölu	nvee	sala
.	.	.

Uppsett	lhensf	uppsettur
verð	nhen	verð
690.000	ta	690.000
.	.	.

S.	as	s.
564	ta	564
0624	ta	0624
og	c	og
astalilja@simnet.is	v	astalilja@simnet.is

Crysler	e	Crysler
Sebring	e	Sebring
LXi	e	LXi
2.5	ta	2.5
'	'	'
95	ta	95
,	,	,
ek.	as	ek.
150	ta	150
þ.	as	þ.

Ssk	as	Ssk
.	.	.

Verð	nhen	verð
590	ta	590
þ.	as	þ.

Skipti	nhfn	skipti
á	aþ	á
ódýrari	lkeþvm	ódýr
,	,	,
ný	lvensf	nýr
sjálfsk.	as	sjálfsk.
og	c	og
dekk	nhfn	dekk
.	.	.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
697	ta	697
3146	ta	3146
.	.	.

Útsala	nven	útsala
!	!	!

Plymouth	e	Plymouth
Voyager	e	Voyager
'	'	'
98	ta	98
ek.	as	ek.
120	ta	120
þús.	as	þús.

Dráttarkrókur	nken	dráttarkrókur
,	,	,
2	ta	2
rennihurðir	nvfn	rennihurð
.	.	.

Aðeins	aa	aðeins
990	ta	990
þús.	as	þús.

Skipti	nhfn	skipti
á	aþ	á
ódýrari	lkeþvm	ódýr
.	.	.

S.	as	s.
820	ta	820
8004	ta	8004
.	.	.

Nissan	e	Nissan
Almera	e	Almera
1400	ta	1400
árgerð	nven	árgerð
'	'	'
99	ta	99
.	.	.

Ekinn	lkensf	ekinn
90	ta	90
þús.	as	þús.
22	ta	22
þús.	as	þús.
út	aa	út
og	c	og
22	ta	22
þús.	as	þús.
á	aþ	á
mán.	as	mán.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
898	ta	898
1844	ta	1844
.	.	.

Toyota	e	Toyota
Carina	e	Carina
E	nhen	e
'	'	'
97	ta	97
.	.	.

Ekinn	lkensf	ekinn
118	ta	118
þ.	as	þ.

1600cc	ta	1600cc
.	.	.

Nýskoðaður	lkensf	nýskoðaður
.	.	.

Sumar-	nhfn	sumardekk
og	c	og
vetradekk	nhfn	vetradekk
fylgja	sfg3fn	fylgja
.	.	.

Dráttarkúla	nven	dráttarkúla
,	,	,
geislaspilari	nken	geislaspilari
.	.	.

Góður	lkensf	góður
bíll	nken	bíll
.	.	.

Verð	nhen	verð
600	ta	600
þ.	as	þ.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
866	ta	866
3583	ta	3583
.	.	.

Grand	e	Grand
Cherokee	e	Cherokee
'	'	'
94	ta	94
.	.	.

Ekinn	lkensf	ekinn
180	ta	180
þús.	as	þús.

Sjálfsk.	as	sjálfsk.

Verð	nhen	verð
750	ta	750
þús.	as	þús.

Sími	nken	sími
693	ta	693
1303	ta	1303
og	c	og
695	ta	695
5530	ta	5530
.	.	.

Til	ae	til
sölu	nvee	sala
WW	e	WW
Golf	e	Golf
árg.	as	árg.
'	'	'
98	ta	98
ekinn	lkensf	ekinn
33.000	ta	33.000
.	.	.

Gulleintak	nhen	gulleintak
.	.	.

Uppl.	as	uppl.
896	ta	896
7104	ta	7104
.	.	.

Nissan	e	Nissan
Alm.	as	Alm.
1998	ta	1998
.	.	.

1600	ta	1600
,	,	,
ssk.	as	ssk.
,	,	,
5	ta	5
dyra	nvfe	dyr
,	,	,
ek.	as	ek.
84	ta	84
þús.	as	þús.

Rafm.	as	Rafm.
í	aþ	í
rúðum	nvfþ	rúða
,	,	,
nýleg	lhfnsf	nýlegur
vetrad.	as	vetrad.
m.	as	m.
vel	aa	vel
með	aa	með
f.	as	f.

Verð	nhen	verð
720	ta	720
þ.	as	þ.
eða	c	eða
600	ta	600
þ.	as	þ.
stgr	as	stgr
.	.	.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
661	ta	661
7743	ta	7743

Þessi	faken	þessi
frábæri	lkenvf	frábær
bíll	nken	bíll
er	sfg3en	vera
til	ae	til
sölu	nvee	sala
.	.	.

Opel	e	Opel
Vectra	e	Vectra
CD	as	CD
1,6	ta	1,6
'	'	'
98	ta	98
e.	as	e.
81	ta	81
þ.	as	þ.

Álf.	as	álf.
,	,	,
spoiler	e	spoiler
,	,	,
CD	as	CD
.	.	.

V.	as	V.
855	ta	855
þ.	as	þ.
,	,	,
áhv.	as	áhv.
376	ta	376
þ.	as	þ.

S.	as	s.
693	ta	693
0004	ta	0004
&	c	&
693	ta	693
5973	ta	5973
.	.	.

Renault	e	Renault
Megané	e	Megané
Classic	e	Classic
'	'	'
99	ta	99
,	,	,
í	aþ	í
mjög	aa	mjög
góðu	lheþsf	góður
ástandi	nheþ	ástand
.	.	.

Góður	lkensf	góður
stgr.	as	stgr.
afsl.	as	afsl.

Uppl.	as	uppl.
í	aþ	í
s.	as	s.
864	ta	864
1147	ta	1147
.	.	.

Til	ae	til
sölu	nvee	sala
Toyota	e	Toyota
Avensis	e	Avensis
'	'	'
99	ta	99
ek.	as	ek.
125	ta	125
þ.	as	þ.

Sk.	as	Sk.
'	'	'
05	ta	05
.	.	.

Verð	nhen	verð
700	ta	700
þúsund	ta	þúsund
.	.	.

Bein	lvensf	beinn
sala	nven	sala
.	.	.

Upplýsingar	nvfn	upplýsing
í	aþ	í
síma	nkeþ	sími
893	ta	893
5449	ta	5449
.	.	.

Cadillac	e	Cadillac
Sedan	e	Sedan
DeVille	e	DeVille
'	'	'
83	ta	83
.	.	.

Ekinn	lkensf	ekinn
122	ta	122
þ.	as	þ.

m.	as	m.
4	ta	4
dyra	nvfe	dyr
,	,	,
vél	nven	vél
8	ta	8
cyl	e	cyl
4,1	ta	4,1
Digital	e	Digital
Fuel	e	Fuel
Injection	e	Injection
.	.	.

Rafmagn	nhen	rafmagn
í	aþ	í
hurðum	nvfþ	hurð
,	,	,
sætum	nhfþ	sæti
,	,	,
skottloki	nheþ	skottlok
.	.	.

Loftdemparar	nkfn	loftdempari
að	aa	að
aftan	aa	aftan
,	,	,
krókur	nken	krókur
.	.	.

Fylgir	sfg3en	fylgja
með	aa	með
:	:	:
nýir	lkfnsf	nýr
orginal	lkfnof	orginal
þéttikantar	nkfn	þéttikantur
á	ao	á
hurðir	nvfo	hurð
,	,	,
4	ta	4
krómteinakoppar	nkfn	krómteinakoppur
,	,	,
4	ta	4
nagladekk	nhfn	nagladekk
á	aþ	á
felgum	nvfþ	felga
ofl.	as	ofl.

Uppl.	as	uppl.
gefur	sfg3en	gefa
Björn	nken-s	Björn
í	aþ	í
s.	as	s.
421	ta	421
5869	ta	5869
milli	ae	milli
kl	as	kl
16	ta	16
og	c	og
19	ta	19
.	.	.

Útsala	nven	útsala
!	!	!

Daewoo	e	Daewoo
Lanos	e	Lanos
SX	e	SX
1.6	ta	1.6
árg.	as	árg.
'	'	'
00	ta	00
,	,	,
5	ta	5
g.	as	g.
5	ta	5
d.	as	d.

ek.	as	ek.
54	ta	54
þ.	as	þ.
km	as	km
.	.	.

CD	as	CD
,	,	,
ABS	as	ABS
,	,	,
s-v	x	s-v
dekk	nhfn	dekk
,	,	,
álfelgur	nvfn	álfelga
.	.	.

100	ta	100
þús.	as	þús.
út	aa	út
og	c	og
yfirt.	as	yfirt.
lán	nhen	lán
fra	x	frá
Lýsing	x	lýsing
,	,	,
afb.	as	afb.
ca.	as	ca.
20/mán	as	20/mán
.	.	.

Uppl.	as	uppl.
i	x	í
s.	as	s.
845	ta	845
5620	ta	5620
.	.	.

Toyota	e	Toyota
Corolla	e	Corolla
1,6	ta	1,6
XLI.	as	XLI.

Árg.	as	Árg.
'	sbg2en	'
97	ta	97
ek.	as	ek.
