þessu	faheþ	þessi
næstu	lkfþve	næstur
dögum	nkfþ	dagur
,	,	,
bæði	c	bæði
hér	aa	hér
á	aþ	á
landi	nheþ	land
og	c	og
á	aþ	á
MTV	as	MTV
.	.	.
«	«	«
Þetta	fahen	þessi
verða	sfg3fn	verða
vonandi	aa	vonandi
eins	aa	eins
litlar	lvfnsf	lítill
breytingar	nvfn	breyting
og	c	og
hægt	lhensf	hægur
er	sfg3en	vera
en	c	en
upprunalegu	lhfnvf	upprunalegur
myndböndin	nhfng	myndband
verða	sfg3fn	verða
á	aþ	á
netinu	nheþg	net
,	,	,
»	»	»
segir	sfg3en	segja
Gunnar	nken-s	Gunnar
Ragnarsson	nken-s	Ragnarsson
,	,	,
söngvari	nken	söngvari
Jakobínarínu	nvee-s	Jakobínarína
,	,	,
um	ao	um
ný	lhfosf	nýr
myndbönd	nhfo	myndband
sveitarinnar	nveeg	sveit
sem	ct	sem
þurfti	sfg3eþ	þurfa
að	cn	að
endurklippa	sng	endurklippa
.	.	.
Í	aþ	í
fyrrnefnda	lheþvf	fyrrnefndur
myndbandinu	nheþg	myndband
,	,	,
sem	ct	sem
var	sfg3eþ	vera
leikstýrt	sþghen	leikstýra
af	aþ	af
Jóni	nkeþ-s	Jón
Sæmundi	nkeþ-s	Sæmundur
,	,	,
er	sfg3en	vera
blikkandi	lhfþof	blikkandi
ljósum	nhfþ	ljós
beint	sþghen	beina
að	aþ	að
hljómsveitinni	nveþg	hljómsveit
.	.	.
Virka	sfg3fn	virka
þau	fphfn	það
eins	aa	eins
og	c	og
strobe-ljós	nhfn	strobe-ljós
,	,	,
sem	ct	sem
eru	sfg3fn	vera
bönnuð	sþghfn	banna
í	aþ	í
myndböndum	nhfþ	myndband
sem	c	sem
þessum	fahfþ	þessi
.	.	.
Í	aþ	í
myndbandinu	nheþg	myndband
við	ao	við
lagið	nheog	lag
This	e	This
Is	e	Is
An	e	An
Advertisment	e	Advertisment
voru	sfg3fþ	vera
klippingarnar	nvfng	klipping
of	aa	of
hraðar	lvfnsf	hraður
til	ae	til
að	c	að
hægt	lhensf	hægur
væri	svg3eþ	vera
að	cn	að
sýna	sng	sýna
myndbandið	nheog	myndband
í	aþ	í
sjónvarpi	nheþ	sjónvarp
.	.	.
Fjallað	sþghen	fjalla
er	sfg3en	vera
um	ao	um
nýjustu	lveove	nýr
smáskífu	nveo	smáskífa
Jakobínarínu	nvee-s	Jakobínarína
undir	aþ	undir
fyrirsögninni	nveþg	fyrirsögn
«	«	«
best	e	best
vinyl	e	vinyl
»	»	»
í	aþ	í
breska	lheþvf	breskur
tónlistartímaritinu	nheþg	tónlistartímarit
NME	as	NME
.	.	.
Um	ao	um
er	sfg3en	vera
að	cn	að
ræða	sng	ræða
7	ta	7
»	»	»
vínylplötu	nveo	vínylplata
sem	ct	sem
gefin	sþgven	gefa
er	sfg3en	vera
út	aa	út
í	aþ	í
takmörkuðu	lheþsf	takmarkaður
upplagi	nheþ	upplag
í	aþ	í
Bretlandi	nheþ-s	Bretland
með	aþ	með
lögunum	nhfþg	lag
Jesus	e	Jesus
og	c	og
Filipino	e	Filipino
Girl	e	Girl
.	.	.
«	«	«
Þetta	fahen	þessi
er	sfg3en	vera
gríðarlega	aa	gríðarlega
áhrifamikið	lhensf	áhrifamikill
blað	nhen	blað
og	c	og
þeir	fpkfn	hann
eru	sfg3fn	vera
að	cn	að
styðja	sng	styðja
við	ao	við
bakið	nheog	bak
á	aþ	á
okkur	fp1fþ	ég
.	.	.
Það	fphen	það
er	sfg3en	vera
náttúrulega	aa	náttúrulega
jákvætt	lhensf	jákvæður
þótt	c	þótt
maður	nken	maður
sé	svg3en	vera
ekki	aa	ekki
alltaf	aa	alltaf
sammála	lkenof	sammála
því	faheþ	sá
sem	ct	sem
stendur	sfg3en	standa
í	aþ	í
blaðinu	nheþg	blað
,	,	,
»	»	»
segir	sfg3en	segja
Gunnar	nken-s	Gunnar
.	.	.
Næsta	lvenve	næstur
smáskífa	nven	smáskífa
Jakobínarínu	nvee-s	Jakobínarína
,	,	,
með	aþ	með
laginu	nheþg	lag
This	e	This
is	e	is
An	e	An
Advertisment	e	Advertisment
,	,	,
kemur	sfg3en	koma
út	aa	út
23.	ta	23.
júlí	nkeo	júlí
og	c	og
er	sfg3en	vera
fyrsta	lvenve	fyrstur
plata	nven	plata
sveitarinnar	nveeg	sveit
væntanleg	lvensf	væntanlegur
á	ao	á
markað	nkeo	markaður
í	aþ	í
Bretlandi	nheþ-s	Bretland
á	aþ	á
vegum	nkfþ	vegur
Regal	e	Regal
Recordings	e	Recordings
og	c	og
hjá	aþ	hjá
12	ta	12
Tónum	nkfþ-s	Tónn
24.	ta	24.
september	nkeo	september
.	.	.
Jakobínarína	nven-s	Jakobínarína
spilaði	sfg3eþ	spila
nýverið	aa	nýverið
á	aþ	á
Great	e	Great
Escape-hátíðinni	nveþgs	Escape-hátíð
í	aþ	í
Brighton	e	Brighton
og	c	og
á	aþ	á
tvennum	lkfþsf	tvennur
tónleikum	nkfþ	tónleikar
í	aþ	í
London	e	London
á	aþ	á
dögunum	nkfþg	dagur
og	c	og
voru	sfg3fþ	vera
viðtökurnar	nvfng	viðtaka
mjög	aa	mjög
góðar	lvfnsf	góður
að	aþ	að
sögn	nveþ	sögn
Gunnars	nkee-s	Gunnar
.	.	.
Í	aþ	í
júlí	nkeþ	júlí
fer	sfg3en	fara
sveitin	nveng	sveit
síðan	aa	síðan
á	ao	á
tónleikaferð	nveo	tónleikaferð
um	ao	um
Bretland	nheo-s	Bretland
til	ae	til
að	cn	að
kynna	sng	kynna
nýjustu	lveove	nýr
smáskífu	nveo	smáskífa
sína	feveo	sinn
.	.	.
Dúettinn	nkeng	dúett
Þrumukettir	nkfn-s	Þrumukettir
hefur	sfg3en	hafa
gert	ssg	gera
útgáfusamning	nkeo	útgáfusamningur
við	ao	við
þýska	lheovf	þýskur
útgáfufyrirtækið	nheog	útgáfufyrirtæki
Nordic	e	Nordic
Notes	e	Notes
.	.	.
Plata	nven	plata
sveitarinnar	nveeg	sveit
,	,	,
Our	e	Our
Way	e	Way
,	,	,
kemur	sfg3en	koma
út	aa	út
á	aþ	á
vegum	nkfþ	vegur
fyrirtækisins	nheeg	fyrirtæki
í	ao	í
sumar	nheo	sumar
í	aþ	í
Þýskalandi	nheþ-s	Þýskaland
,	,	,
Austurríki	nheþ-s	Austurríki
,	,	,
Sviss	nheþ-s	Sviss
og	c	og
á	aþ	á
Íslandi	nheþ-s	Ísland
.	.	.
Þrumkettir	nkfn-s	Þrumkettir
voru	sfg3fþ	vera
stofnaðir	sþgkfn	stofna
síðasta	lheove	síðari
sumar	nheo	sumar
og	c	og
var	sfg3eþ	vera
platan	nveng	plata
tekin	sþgven	taka
upp	aa	upp
um	ao	um
svipað	lheosf	svipaður
leyti	nheo	leyti
.	.	.
Á	aa	á
meðal	ae	meðal
þeirra	fakfe	sá
sem	ct	sem
aðstoða	sfg3fn	aðstoða
Þrumukettina	nkfogs	Þrumukettur
á	aþ	á
plötunni	nveþg	plata
eru	sfg3fn	vera
Jara	nven-s	Jara
,	,	,
Hinda	e	Hinda
Khogali	e	Khogali
frá	aþ	frá
Súdan	nheþ-s	Súdan
og	c	og
Nick	e	Nick
Scholey	e	Scholey
frá	aþ	frá
Skotlandi	nheþ-s	Skotland
.	.	.
Áður	aa	áður
hafði	sfg3eþ	hafa
sveitin	nveng	sveit
gert	ssg	gera
eigin	lveoof	eigin
útgáfu	nveo	útgáfa
af	aþ	af
lagi	nheþ	lag
Megasar	nkee-s	Megas
,	,	,
Drukknuð	lhfnsf	drukknaður
börn	nhfn	barn
,	,	,
sem	ct	sem
kom	sfg3eþ	koma
út	aa	út
á	aþ	á
safnplötunni	nveþg	safnplata
Pældu	sbg2en	pæla
í	aþ	í
því	faheþ	sá
sem	ct	sem
pælandi	slg	pæla
er	sfg3en	vera
í	aa	í
.	.	.
Þrumukettir	nkfn-s	Þrumukettir
spiluðu	sfg3fþ	spila
nýverið	aa	nýverið
á	aþ	á
Björtum	lkfþsf	bjartur
dögum	nkfþ	dagur
í	aþ	í
Hafnarfirði	nkeþ-s	Hafnarfjörður
og	c	og
skörtuðu	sfg3fþ	skarta
þá	aa	þá
forláta	lvfþof	forláta
grímum	nvfþ	gríma
til	ae	til
að	c	að
þeir	fpkfn	hann
þekktust	svm3fþ	þekkja
ekki	aa	ekki
.	.	.
«	«	«
Þetta	fahen	þessi
eru	sfg3fn	vera
eiginlega	aa	eiginlega
kattargrímur	nvfn	kattargríma
,	,	,
»	»	»
segir	sfg3en	segja
annar	foken	annar
Þrumukattanna	nkfegs	Þrumukattur
.	.	.
Vill	sfg3en	vilja
hann	fpken	hann
ekki	aa	ekki
meina	sng	meina
að	c	að
hugmyndin	nveng	hugmynd
sé	svg3en	vera
fengin	sþgven	fá
frá	aþ	frá
bandarísku	lkfþvf	bandarískur
rokkurunum	nkfþg	rokkari
í	aþ	í
Slipknot	e	Slipknot
.	.	.
«	«	«
Við	fp1fn	ég
erum	sfg1fn	vera
ekki	aa	ekki
þeir	fakfn	sá
fyrstu	lkfnve	fyrstur
sem	ct	sem
nota	sfg3fn	nota
grímur	nvfo	gríma
.	.	.
Þetta	fahen	þessi
tengist	sfm3en	tengja
líka	aa	líka
svolítið	aa	svolítið
«	«	«
coverinu	e	coverinu
»	»	»
en	c	en
það	fphen	það
var	sfg3eþ	vera
dönsk	lvensf	danskur
stelpa	nven	stelpa
sem	ct	sem
heitir	sfg3en	heita
Ida	e	Ida
sem	ct	sem
gerði	sfg3eþ	gera
það	fpheo	það
.	.	.
»	»	»
Þrumukettir	nkfn-s	Þrumukettir
í	aþ	í
Þýskalandi	nheþ-s	Þýskaland
Breskir	lkfnsf	breskur
fjölmiðlar	nkfn	fjölmiðill
halda	sfg3fn	halda
því	fpheþ	það
nú	aa	nú
fram	aa	fram
að	c	að
popparinn	nkeng	poppari
Robbie	e	Robbie
Williams	e	Williams
sé	svg3en	vera
ástfanginn	lkensf	ástfanginn
.	.	.
Sú	faven	sá
heppna	lvenvf	heppinn
heitir	sfg3en	heita
Ayda	e	Ayda
Field	e	Field
og	c	og
er	sfg3en	vera
tiltölulega	aa	tiltölulega
óþekkt	lvensf	óþekktur
leikkona	nven	leikkona
frá	aþ	frá
Bandaríkjunum	nhfþgs	Bandaríki
.	.	.
Robbie	e	Robbie
og	c	og
Ayda	e	Ayda
hafa	sfg3fn	hafa
verið	ssg	vera
að	cn	að
hittast	snm	hitta
á	ao	á
laun	nhfo	laun
síðustu	lkfove	síðari
tvo	tfkfo	tveir
mánuði	nkfo	mánuður
og	c	og
segir	sfg3en	segja
kunningi	nken	kunningi
söngvarans	nkeeg	söngvari
í	aþ	í
viðtali	nheþ	viðtal
við	ao	við
eitt	foheo	einn
götublaðanna	nhfeg	götublað
í	aþ	í
Englandi	nheþ-s	England
að	c	að
honum	fpkeþ	hann
hafi	svg3en	hafa
ekki	aa	ekki
liðið	ssg	líða
eins	aa	eins
gagnvart	aþ	gagnvart
stúlku	nveþ	stúlka
í	ao	í
langan	lkeosf	langur
tíma	nkeo	tími
.	.	.
«	«	«
Þau	fphfn	það
eru	sfg3fn	vera
að	cn	að
gera	sng	gera
það	faheo	sá
sem	ct	sem
öll	fohfn	allur
pör	nhfn	par
gera	sfg3fn	gera
,	,	,
fara	sfg3fn	fara
í	ao	í
bíó	nheo	bíó
saman	aa	saman
og	c	og
kúra	sng	kúra
saman	aa	saman
inni	aa	inni
í	aþ	í
stofu	nveþ	stofa
og	c	og
horfa	sng	horfa
á	ao	á
DVD	as	DVD
.	.	.
Hann	fpken	hann
er	sfg3en	vera
fallinn	lkensf	fallinn
fyrir	aþ	fyrir
henni	fpveþ	hún
og	c	og
tilfinningin	nveng	tilfinning
er	sfg3en	vera
gagnkvæm	lvensf	gagnkvæmur
,	,	,
»	»	»
segir	sfg3en	segja
kunninginn	nkeng	kunningi
.	.	.
Ayda	e	Ayda
þessi	faven	þessi
hefur	sfg3en	hafa
meðal	ae	meðal
annars	fohee	annar
komið	ssg	koma
fram	aa	fram
í	aþ	í
gestahlutverkum	nhfþ	gestahlutverk
í	aþ	í
þáttunum	nkfþg	þáttur
Will	e	Will
og	c	og
Grace	e	Grace
og	c	og
Days	e	Days
of	e	of
our	e	our
Lives	e	Lives
.	.	.
Hún	fpven	hún
þykir	sfg3en	þykja
hin	gven	hinn
huggulegasta	lvenve	huggulegur
í	aþ	í
útliti	nheþ	útlit
en	c	en
sagt	sþghen	segja
er	sfg3en	vera
að	c	að
Robbie	e	Robbie
sé	svg3en	vera
sérstaklega	aa	sérstaklega
hrifinn	lkensf	hrifinn
af	aþ	af
hennar	fpvee	hún
innri	lkeþvm	innri
manni	nkeþ	maður
.	.	.
Robbie	e	Robbie
ástfanginn	lkensf	ástfanginn
Þetta	fahen	þessi
var	sfg3eþ	vera
klárlega	aa	klárlega
mitt	fehen	minn
besta	lhenve	góður
tímabil	nhen	tímabil
Það	fphen	það
kom	sfg3eþ	koma
mörgum	lkfþsf	margur
á	ao	á
óvart	lheosf	óvar
þegar	c	þegar
KSÍ	as	KSÍ
réð	sfg3eþ	ráða
Eyjólf	nkeo-s	Eyjólfur
Sverrisson	nkeo-s	Sverrisson
sem	ct	sem
landsliðsþjálfara	nkeo	landsliðsþjálfari
í	aþ	í
knattspyrnu	nveþ	knattspyrna
þann	fakeo	sá
14.	ta	14.
október	nkeo	október
árið	nheog	ár
2005	ta	2005
.	.	.
Eyjólfur	nken-s	Eyjólfur
hafði	sfg3eþ	hafa
mjög	aa	mjög
takmarkaða	lveosf	takmarkaður
reynslu	nveo	reynsla
sem	ct	sem
þjálfari	nken	þjálfari
.	.	.
Hafði	sfg3eþ	hafa
aðeins	aa	aðeins
þjálfað	ssg	þjálfa
U-21	ta	U-21
árs	nhee	ár
lið	nheo	lið
Íslands	nhee-s	Ísland
og	c	og
hafði	sfg3eþ	hafa
ekki	aa	ekki
náð	ssg	ná
sérstökum	lkeþsf	sérstakur
árangri	nkeþ	árangur
með	ao	með
það	faheo	sá
lið	nheo	lið
.	.	.
Hann	fpken	hann
hafði	sfg3eþ	hafa
þó	aa	þó
gert	ssg	gera
nóg	lheosf	nógur
til	ae	til
þess	fphee	það
að	cn	að
sannfæra	sng	sannfæra
Eggert	nkeo-s	Eggert
Magnússon	nkeo-s	Magnússon
sem	ct	sem
réð	sfg3eþ	ráða
Eyjólf	nkeo-s	Eyjólfur
.	.	.
Fyrsti	lkenve	fyrstur
leikurinn	nkeng	leikur
undir	aþ	undir
stjórn	nveþ	stjórn
Eyjólfs	nkee-s	Eyjólfur
var	sfg3eþ	vera
í	ao	í
lok	nhfo	lok
febrúar	nkee	febrúar
2006	ta	2006
.	.	.
Vináttuleikur	nken	Vináttuleikur
gegn	aþ	gegn
Trinídad	e	Trinídad
og	c	og
Tóbagó	e	Tóbagó
í	aþ	í
London	e	London
.	.	.
«	«	«
Engar	fovfn	enginn
framfarir	nvfn	framför
í	aþ	í
fyrsta	lkeþve	fyrstur
leik	nkeþ	leikur
Eyjólfs	nkee-s	Eyjólfur
.	.	.
»	»	»
Það	fphen	það
nákvæmlega	aa	nákvæmlega
sama	fbhen	sami
er	sfg3en	vera
upp	aa	upp
á	aþ	á
teningnum	nkeþg	teningur
15	ta	15
mánuðum	nkfþ	mánuður
síðar	aam	síðar
og	c	og
liðinu	nheþg	lið
hefur	sfg3en	hafa
farið	ssg	fara
aftur	aa	aftur
ef	c	ef
eitthvað	fohen	einhver
er	sfg3en	vera
síðan	aa	síðan
á	aþ	á
Loftus	e	Loftus
Road	e	Road
.	.	.
Í	aþ	í
greininni	nveþg	grein
um	ao	um
Trinídad-leikinn	nkeogs	Trinídad-leikur
er	sfg3en	vera
talað	sþghen	tala
um	ao	um
slakan	lkeosf	slakur
varnarleik	nkeo	varnarleikur
og	c	og
engan	fokeo	enginn
sóknarleik	nkeo	sóknarleikur
.	.	.
Það	fphen	það
á	sfg3en	eiga
einnig	aa	einnig
við	aa	við
í	ao	í
dag	nkeo	dagur
.	.	.
Það	fphen	það
er	sfg3en	vera
ekki	aa	ekki
hægt	lhensf	hægur
að	cn	að
sjá	sng	sjá
framfarir	nvfo	framför
á	aþ	á
neinu	foheþ	neinn
sviði	nheþ	svið
.	.	.
Eyjólfur	nken-s	Eyjólfur
er	sfg3en	vera
búinn	lkensf	búinn
að	cn	að
stýra	sng	stýra
liðinu	nheþg	lið
átta	tfhfþ	átta
sinnum	nhfþ	sinn
og	c	og
aðeins	aa	aðeins
einu	tfheþ	einn
sinni	nheþ	sinn
hefur	sfg3en	hafa
liðið	nheng	lið
unnið	ssg	vinna
.	.	.
Í	aþ	í
fimm	tfkfþ	fimm
leikjum	nkfþ	leikur
hefur	sfg3en	hafa
liðinu	nheþg	lið
mistekist	ssm	mistaka
að	cn	að
skora	sng	skora
.	.	.
Mörkin	nhfng	mark
eru	sfg3fn	vera
þess	fphee	það
utan	ae	utan
aðeins	aa	aðeins
fimm	tfhfn	fimm
.	.	.
Það	fphen	það
er	sfg3en	vera
nokkuð	fohen	nokkur
frá	aþ	frá
einu	tfheþ	einn
marki	nheþ	mark
í	aþ	í
leik	nkeþ	leikur
.	.	.
Það	fphen	það
er	sfg3en	vera
átakanleg	lvensf	átakanlegur
tölfræði	nven	tölfræði
og	c	og
segir	sfg3en	segja
meira	lheovm	mikill
en	c	en
mörg	lhfnsf	margur
orð	nhfn	orð
um	ao	um
sóknarleikinn	nkeog	sóknarleikur
.	.	.
Samt	aa	samt
eigum	sfg1fn	eiga
við	fp1fn	ég
framherja	nkeo	framherji
í	aþ	í
heimsklassa	nkeþ	heimsklassi
.	.	.
Hann	fpken	hann
hefur	sfg3en	hafa
ekki	aa	ekki
skorað	ssg	skora
í	aþ	í
fimm	tfkfþ	fimm
leikjum	nkfþ	leikur
í	aþ	í
röð	nveþ	röð
og	c	og
það	fphen	það
eru	sfg3fn	vera
meira	lhenvm	mikill
en	c	en
500	ta	500
mínútur	nvfn	mínúta
síðan	c	síðan
hann	fpken	hann
skoraði	sfg3eþ	skora
síðast	aae	síðar
landsliðsmark	nheo	landsliðsmark
.	.	.
Það	fphen	það
er	sfg3en	vera
ekki	aa	ekki
bara	aa	bara
sóknarleikurinn	nkeng	sóknarleikur
sem	ct	sem
er	sfg3en	vera
lélegur	lkensf	lélegur
því	fpheþ	það
varnarleikurinn	nkeng	varnarleikur
hefur	sfg3en	hafa
líka	aa	líka
verið	ssg	vera
mjög	aa	mjög
slakur	lkensf	slakur
á	aþ	á
köflum	nkfþ	kafli
.	.	.
Til	ae	til
að	cn	að
mynda	sng	mynda
fékk	sfg3eþ	fá
liðið	nheng	lið
á	ao	á
sig	fpheo	sig
fjögur	tfhfo	fjórir
