seldur	sþgken	selja
skuli	svg3en	skulu
ef	c	ef
búfé	nhen	búfé
kemst	sfm3en	koma
inn	aa	inn
á	ao	á
þau	fahfo	sá
svæði	nhfo	svæði
þar	aa	þar
sem	c	sem
lausaganga	nven	lausaganga
er	sfg3en	vera
bönnuð	lvensf	bannaður
og	c	og
hvernig	aa	hvernig
málsmeðferðin	nveng	málsmeðferð
er	sfg3en	vera
.	.	.
Mikilvægt	lhensf	mikilvægur
er	sfg3en	vera
að	c	að
búféð	nheng	búfé
sé	svg3en	vera
ekki	aa	ekki
haft	sþghen	hafa
í	aþ	í
svelti	nheþ	svelti
og	c	og
því	aa	því
er	sfg3en	vera
það	fphen	það
á	aþ	á
ábyrgð	nveþ	ábyrgð
umráðamanns	nkee	umráðamaður
lands	nhee	land
að	cn	að
handsama	sng	handsama
,	,	,
fóðra	sng	fóðra
og	c	og
geyma	sng	geyma
búféð	nheog	búfé
þar	aa	þar
til	aa	til
umráðamaður	nken	umráðamaður
búfjár	nhee	búfé
sækir	sfg3en	sækja
það	fpheo	það
.	.	.
Umráðamaður	nken	umráðamaður
búfjár	nhee	búfé
ber	sfg3en	bera
þó	aa	þó
allan	fokeo	allur
kostnað	nkeo	kostnaður
af	aþ	af
geymslu	nveþ	geymsla
,	,	,
fóðrun	nveþ	fóðrun
og	c	og
/	/	/
eða	c	eða
gæslu	nveþ	gæsla
þess	fphee	það
eða	c	eða
heimkeyrslu	nveþ	heimkeyrsla
,	,	,
verði	svg3en	verða
ekki	aa	ekki
orðið	sþghen	verða
við	aþ	við
tilmælum	nhfþ	tilmæli
um	ao	um
að	cn	að
sækja	sng	sækja
það	fpheo	það
innan	ae	innan
tveggja	tfkfe	tveir
sólarhringa	nkfe	sólarhringur
frá	aþ	frá
tilkynningu	nveþ	tilkynning
.	.	.
Hafi	svg3en	hafa
umráðamaður	nken	umráðamaður
búfjár	nhee	búfé
ekki	aa	ekki
fundist	ssm	finna
eða	c	eða
sinnt	ssg	sinna
fyrirmælum	nhfþ	fyrirmæli
um	ao	um
að	cn	að
sækja	sng	sækja
búféð	nheog	búfé
innan	ae	innan
tveggja	tfkfe	tveir
sólarhringa	nkfe	sólarhringur
frá	aþ	frá
tilkynningu	nveþ	tilkynning
getur	sfg3en	geta
umráðamaður	nken	umráðamaður
lands	nhee	land
afhent	ssg	afhenda
það	faheo	sá
lögreglustjóra	nkeþ	lögreglustjóri
sem	ct	sem
ráðstafar	sfg3en	ráðstafa
því	fpheþ	það
í	aþ	í
samráði	nheþ	samráð
við	ao	við
sveitarstjórn	nveo	sveitarstjórn
.	.	.
Í	aþ	í
2.	ta	2.
mgr.	as	mgr.
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
það	fpheo	það
að	c	að
lögreglustjóri	nken	lögreglustjóri
,	,	,
sveitarstjórn	nven	sveitarstjórn
og	c	og
umráðamaður	nken	umráðamaður
lands	nhee	land
eigi	svg3fn	eiga
lögveð	nhfo	lögveð
í	aþ	í
búfénu	nheþg	búfé
fyrir	aþ	fyrir
sannanlegum	lkeþsf	sannanlegur
kostnaði	nkeþ	kostnaður
.	.	.
Komi	svg3en	koma
í	ao	í
ljós	nheo	ljós
að	c	að
girðingu	nveþ	girðing
í	aa	í
kringum	ao	kringum
hið	gheo	hinn
friðaða	lheovf	friðaður
svæði	nheo	svæði
var	sfg3eþ	vera
ábótavant	lhensf	ábótavant
ber	sfg3en	bera
umráðamaður	nken	umráðamaður
lands	nhee	land
ábyrgð	nveo	ábyrgð
á	aþ	á
greiðslu	nveþ	greiðsla
þess	fakee	sá
kostnaðar	nkee	kostnaður
sem	ct	sem
hlýst	sfm3en	hljóta
af	aþ	af
geymslu	nveþ	geymsla
og	c	og
fóðrun	nveþ	fóðrun
búfjárins	nheeg	búfé
.	.	.
Valdi	svg3en	valda
búféð	nheng	búfé
tjóni	nheþ	tjón
fer	sfg3en	fara
um	ao	um
greiðslu	nveo	greiðsla
bóta	nvfe	bót
eftir	aþ	eftir
almennu	lveþvf	almennur
sakarreglunni	nveþg	sakarregla
.	.	.
Um	ao	um
10.	ta	10.
gr.	as	gr.
Mikil	lvensf	mikill
umræða	nven	umræða
varð	sfg3eþ	verða
í	aþ	í
nefndinni	nveþg	nefnd
um	ao	um
vistun	nveo	vistun
búfjáreftirlitsins	nheeg	búfjáreftirlit
.	.	.
Nauðsyn	nven	nauðsyn
þótti	sfg3eþ	þykja
að	cn	að
breyta	sng	breyta
þeirri	faveþ	sá
framkvæmd	nveþ	framkvæmd
sem	ct	sem
í	aþ	í
gildi	nheþ	gildi
er	sfg3en	vera
,	,	,
í	ao	í
þá	faveo	sá
átt	nveo	átt
að	cn	að
stækka	sng	stækka
eftirlitssvæðin	nhfog	eftirlitssvæði
þannig	aa	þannig
að	c	að
minni	lvenvm	lítill
hætta	nven	hætta
væri	svg3eþ	vera
á	aþ	á
hagsmunaárekstrum	nkfþ	hagsmunaárekstur
.	.	.
Niðurstaðan	nveng	niðurstaða
varð	sfg3eþ	verða
sú	faven	sá
að	cn	að
kveða	sng	kveða
á	aa	á
um	ao	um
starfssvæði	nheo	starfssvæði
búfjáreftirlits	nhee	búfjáreftirlit
í	aþ	í
reglugerð	nveþ	reglugerð
en	c	en
með	aþ	með
því	faheþ	sá
móti	nheþ	mót
væri	svg3eþ	vera
mun	nkeþ	munur
auðveldara	lhenvm	auðveldur
að	cn	að
gera	sng	gera
breytingar	nvfo	breyting
á	aþ	á
starfssvæðum	nhfþ	starfssvæði
,	,	,
t.d.	as	t.d.
við	ao	við
sameiningu	nveo	sameining
sveitarfélaga	nhfe	sveitarfélag
.	.	.
Í	aþ	í
1.	ta	1.
mgr.	as	mgr.
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
það	fpheo	það
að	c	að
minni	lhfnvm	lítill
sveitarfélögin	nhfng	sveitarfélag
skuli	svg3fn	skulu
reka	sng	reka
búfjáreftirlit	nheo	búfjáreftirlit
sameiginlega	aa	sameiginlega
á	aþ	á
skilgreindum	lhfþsf	skilgreindur
starfssvæðum	nhfþ	starfssvæði
sem	ct	sem
kveðið	sþghen	kveða
verður	sfg3en	verða
á	aa	á
um	aa	um
í	aþ	í
reglugerð	nveþ	reglugerð
.	.	.
Stærstu	lhfnve	stór
sveitarfélögin	nhfng	sveitarfélag
geta	sfg3fn	geta
verið	ssg	vera
sjálfstæð	lhfnsf	sjálfstæður
.	.	.
Í	aþ	í
2.	ta	2.
mgr.	as	mgr.
er	sfg3en	vera
fjallað	sþghen	fjalla
um	ao	um
búfjáreftirlitsmann	nkeo	búfjáreftirlitsmaður
,	,	,
menntun	nveo	menntun
hans	fpkee	hann
og	c	og
starfsskyldur	nvfo	starfsskylda
.	.	.
Auk	ae	auk
þess	fphee	það
er	sfg3en	vera
fjallað	sþghen	fjalla
um	ao	um
námskeið	nheo	námskeið
sem	ct	sem
Bændasamtök	nhfn-s	Bændasamtök
Íslands	nhee-s	Ísland
munu	sfg3fn	munu
halda	sng	halda
til	ae	til
að	cn	að
samræma	sng	samræma
störf	nhfo	starf
búfjáreftirlitsmanna	nkfe	búfjáreftirlitsmaður
og	c	og
handbók	nveo	handbók
sem	ct	sem
þau	fphfn	það
útbúa	sfg3fn	útbúa
fyrir	ao	fyrir
búfjáreftirlitsmenn	nkfo	búfjáreftirlitsmaður
með	aþ	með
helstu	lvfþve	heldri
upplýsingum	nvfþ	upplýsing
.	.	.
Einnig	aa	einnig
er	sfg3en	vera
sérstaklega	aa	sérstaklega
fjallað	sþghen	fjalla
um	ao	um
hæfi	nheo	hæfi
búfjáreftirlitsmanna	nkfe	búfjáreftirlitsmaður
samkvæmt	aþ	samkvæmt
stjórnsýslulögum	nhfþ	stjórnsýslulög
.	.	.
En	c	en
í	aþ	í
3.	ta	3.
og	c	og
4.	ta	4.
gr.	as	gr.
stjórnsýslulaga	nhfe	stjórnsýslulög
,	,	,
nr.	as	nr.
37/1993	ta	37/1993
,	,	,
er	sfg3en	vera
fjallað	sþghen	fjalla
um	ao	um
vanhæfi	nheo	vanhæfi
og	c	og
áhrif	nhfo	áhrif
þess	fphee	það
.	.	.
Í	aþ	í
3.	ta	3.
mgr.	as	mgr.
er	sfg3en	vera
fjallað	sþghen	fjalla
um	ao	um
það	fpheo	það
að	c	að
sveitarfélög	nhfn	sveitarfélag
á	aþ	á
hverju	foheþ	hver
starfssvæði	nheþ	starfssvæði
geti	svg3fn	geta
með	aþ	með
samkomulagi	nheþ	samkomulag
sín	fphfe	sig
í	aa	í
milli	ae	milli
falið	ssg	fela
sérstökum	lkeþsf	sérstakur
aðila	nkeþ	aðili
umsjón	nveo	umsjón
með	aþ	með
fjárreiðum	nvfþ	fjárreiða
og	c	og
aðstöðu	nveþ	aðstaða
fyrir	ao	fyrir
búfjáreftirlitið	nheog	búfjáreftirlit
,	,	,
svo	aa	svo
sem	c	sem
búnaðarsamböndum	nhfþ	búnaðarsamband
,	,	,
eða	c	eða
t.d.	as	t.d.
falið	ssg	fela
stærsta	lheþve	stór
sveitarfélaginu	nheþg	sveitarfélag
að	cn	að
hafa	sng	hafa
umsjón	nveo	umsjón
með	aþ	með
þessum	fakfþ	þessi
þáttum	nkfþ	þáttur
.	.	.
Í	aþ	í
4.	ta	4.
mgr.	as	mgr.
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
að	c	að
kostnaður	nken	kostnaður
af	aþ	af
starfi	nheþ	starf
búfjáreftirlits	nhee	búfjáreftirlit
greiðist	svm3en	greiða
af	aþ	af
sveitarfélögunum	nhfþg	sveitarfélag
,	,	,
en	c	en
þeim	fphfþ	það
sé	svg3en	vera
þó	aa	þó
heimilt	lhensf	heimill
að	cn	að
leggja	sng	leggja
á	aa	á
eftirlitsgjald	nheo	eftirlitsgjald
á	aa	á
móti	aþ	móti
sannanlegum	lkeþsf	sannanlegur
kostnaði	nkeþ	kostnaður
við	ao	við
búfjáreftirlitið	nheog	búfjáreftirlit
samkvæmt	aþ	samkvæmt
gjaldskrá	nveþ	gjaldskrá
sem	ct	sem
landbúnaðarráðherra	nken	landbúnaðarráðherra
staðfestir	sfg3en	staðfesta
.	.	.
Eftirlitsgjaldið	nheng	eftirlitsgjald
skal	sfg3en	skulu
standa	sng	standa
straum	nkeo	straumur
af	aþ	af
kostnaði	nkeþ	kostnaður
við	ao	við
akstur	nkeo	akstur
og	c	og
vinnustundir	nvfo	vinnustund
búfjáreftirlitsmanna	nkfe	búfjáreftirlitsmaður
í	aþ	í
samræmi	nheþ	samræmi
við	ao	við
umfang	nheo	umfang
eftirlits	nhee	eftirlit
hjá	aþ	hjá
hverjum	fokeþ	hver
aðila	nkeþ	aðili
.	.	.
Einnig	aa	einnig
er	sfg3en	vera
heimilað	sþghen	heimila
að	cn	að
leggja	sng	leggja
á	aa	á
eftirlitsgjald	nheo	eftirlitsgjald
fyrir	ao	fyrir
handsömun	nveo	handsömun
,	,	,
fóðrun	nveo	fóðrun
og	c	og
hýsingu	nveo	hýsing
gripa	nkfe	gripur
,	,	,
sbr.	as	sbr.
9.	ta	9.
,	,	,
15.	ta	15.
og	c	og
16.	ta	16.
gr.	as	gr.
,	,	,
eftir	aþ	eftir
því	faheþ	sá
sem	ct	sem
við	aa	við
getur	sfg3en	geta
átt	ssg	eiga
í	aþ	í
hverju	foheþ	hver
tilviki	nheþ	tilvik
.	.	.
Nauðsynlegt	lhensf	nauðsynlegur
er	sfg3en	vera
að	cn	að
hafa	sng	hafa
slíkt	fbheo	slíkur
heimildarákvæði	nheo	heimildarákvæði
í	aþ	í
lögunum	nhfþg	lag
til	ae	til
þess	fphee	það
að	cn	að
gera	sng	gera
sveitarfélögum	nhfþ	sveitarfélag
sem	ct	sem
það	fpheo	það
vilja	sfg3fn	vilja
mögulegt	lheosf	mögulegur
að	cn	að
leggja	sng	leggja
á	aa	á
eftirlitsgjald	nheo	eftirlitsgjald
.	.	.
Sjálfsforræði	nhen	sjálfsforræði
sveitarfélaga	nhfe	sveitarfélag
í	aþ	í
þessum	fahfþ	þessi
efnum	nhfþ	efni
þarf	sfg3en	þurfa
að	cn	að
vera	sng	vera
tryggt	sþghen	tryggja
.	.	.
Ef	c	ef
vilji	nken	vilji
er	sfg3en	vera
til	ae	til
þess	fphee	það
innan	ae	innan
sveitarfélags	nhee	sveitarfélag
að	c	að
búfjáreigendur	nkfn	búfjáreigandi
standi	svg3fn	standa
undir	aþ	undir
hluta	nkeþ	hluti
eða	c	eða
öllum	fokeþ	allur
kostnaði	nkeþ	kostnaður
við	ao	við
búfjáreftirlit	nheo	búfjáreftirlit
á	sfg3en	eiga
það	fphen	það
að	cn	að
vera	sng	vera
valkostur	nken	valkostur
sem	ct	sem
unnt	lhensf	unnt
er	sfg3en	vera
að	cn	að
nýta	sng	nýta
.	.	.
Í	aþ	í
5.	ta	5.
mgr.	as	mgr.
er	sfg3en	vera
fjallað	sþghen	fjalla
um	ao	um
búfjáreftirlitsnefnd	nveo	búfjáreftirlitsnefnd
.	.	.
Hún	fpven	hún
kemur	sfg3en	koma
fram	aa	fram
fyrir	ao	fyrir
hönd	nveo	hönd
sveitarfélaganna	nhfeg	sveitarfélag
,	,	,
sem	ct	sem
reka	sfg3fn	reka
sameiginlega	aa	sameiginlega
búfjáreftirlit	nheo	búfjáreftirlit
,	,	,
sem	ct	sem
yfirstjórn	nven	yfirstjórn
gagnvart	aþ	gagnvart
starfsfólki	nheþ	starfsfólk
,	,	,
eftirlitsskyldum	lkfþsf	eftirlitsskyldur
aðilum	nkfþ	aðili
og	c	og
öðrum	fokfþ	annar
sem	ct	sem
höfð	sþghfn	hafa
eru	sfg3fn	vera
samskipti	nhfn	samskipti
við	aa	við
.	.	.
Um	ao	um
11.	ta	11.
gr.	as	gr.
Í	aþ	í
1.	ta	1.
mgr.	as	mgr.
er	sfg3en	vera
kveðið	sþghen	kveða
á	aa	á
um	ao	um
haustskýrslu	nveo	haustskýrsla
frá	aþ	frá
Bændasamtökum	nhfþ-s	Bændasamtök
Íslands	nhee-s	Ísland
sem	ct	sem
búfjáreftirlitsmaður	nken	búfjáreftirlitsmaður
sendir	sfg3en	senda
öllum	fokfþ	allur
umráðamönnum	nkfþ	umráðamaður
búfjár	nhee	búfé
á	aþ	á
sínu	feheþ	sinn
starfssvæði	nheþ	starfssvæði
.	.	.
Í	aþ	í
haustskýrslunni	nveþg	haustskýrsla
eiga	sfg3fn	eiga
að	cn	að
koma	sng	koma
fram	aa	fram
upplýsingar	nvfn	upplýsing
um	ao	um
fjölda	nkeo	fjöldi
búfjár	nhee	búfé
af	aþ	af
hverri	foveþ	hver
tegund	nveþ	tegund
,	,	,
aldur	nkeo	aldur
þess	fphee	það
,	,	,
aðbúnað	nkeo	aðbúnaður
,	,	,
fóðrun	nveo	fóðrun
og	c	og
þar	aa	þar
með	aa	með
beit	nveo	beit
.	.	.
Einnig	aa	einnig
skulu	sfg3fn	skulu
koma	sng	koma
fram	aa	fram
upplýsingar	nvfn	upplýsing
um	ao	um
gróffóðurforða	nkeo	gróffóðurforði
,	,	,
tegund	nveo	tegund
,	,	,
uppruna	nkeo	uppruni
og	c	og
fyrningar	nvfo	fyrning
.	.	.
Þá	aa	þá
skulu	sfg3fn	skulu
auk	ae	auk
þess	fphee	það
koma	sng	koma
fram	aa	fram
upplýsingar	nvfn	upplýsing
um	ao	um
kaup	nhfo	kaup
á	aþ	á
heyi	nheþ	hey
.	.	.
Geta	sng	geta
skal	sfg3en	skulu
um	ao	um
allt	foheo	allur
búfé	nheo	búfé
sem	ct	sem
tekið	sþghen	taka
er	sfg3en	vera
í	aþ	í
hagagöngu	nveþ	hagaganga
.	.	.
Senda	sng	senda
skal	sfg3en	skulu
skýrsluna	nveog	skýrsla
útfyllta	lveosf	útfylltur
til	aa	til
baka	aa	baka
í	aþ	í
síðasta	lheþve	síðari
lagi	nheþ	lag
20.	ta	20.
nóvember	nkeo	nóvember
.	.	.
Gert	sþghen	gera
er	sfg3en	vera
ráð	nhen	ráð
fyrir	aþ	fyrir
því	fpheþ	það
að	c	að
hægt	lhensf	hægur
verði	svg3en	verða
að	cn	að
senda	sng	senda
og	c	og
skila	sng	skila
á	aþ	á
rafrænu	lheþsf	rafrænn
formi	nheþ	form
.	.	.
Skili	svg3en	skila
umráðamaður	nken	umráðamaður
búfjár	nhee	búfé
haustskýrslu	nveþ	haustskýrsla
ekki	aa	ekki
fyrir	ao	fyrir
tilskilinn	lkeosf	tilskilinn
frest	nkeo	frestur
skal	sfg3en	skulu
búfjáreftirlitsmaður	nken	búfjáreftirlitsmaður
fara	sng	fara
og	c	og
skoða	sng	skoða
hjá	aþ	hjá
viðkomandi	lkeþof	viðkomandi
og	c	og
ber	sfg3en	bera
umráðamaður	nken	umráðamaður
búfjár	nhee	búfé
allan	fokeo	allur
kostnað	nkeo	kostnaður
eftirlitsins	nheeg	eftirlit
í	aþ	í
samræmi	nheþ	samræmi
við	ao	við
gildandi	lveoof	gildandi
gjaldskrá	nveo	gjaldskrá
.	.	.
Sá	faken	sá
aukakostnaður	nken	aukakostnaður
sem	ct	sem
umráðamaður	nken	umráðamaður
búfjár	nhee	búfé
verður	sfg3en	verða
fyrir	aa	fyrir
ef	c	ef
hann	fpken	hann
skilar	sfg3en	skila
ekki	aa	ekki
haustskýrslu	nveþ	haustskýrsla
fyrir	ao	fyrir
20.	ta	20.
nóvember	nkeo	nóvember
hlýtur	sfg3en	hljóta
að	cn	að
leiða	sng	leiða
til	ae	til
þess	fphee	það
að	c	að
umráðamenn	nkfn	umráðamaður
búfjár	nhee	búfé
skili	svg3fn	skila
frekar	aam	frekar
en	c	en
ella	aa	ella
útfylltum	lvfþsf	útfylltur
skýrslum	nvfþ	skýrsla
fyrir	ao	fyrir
frestlok	nhfo	frestlok
.	.	.
Í	aþ	í
ákvæðinu	nheþg	ákvæði
segir	sfg3en	segja
að	c	að
landbúnaðarráðuneytið	nheng	landbúnaðarráðuneyti
geti	svg3en	geta
heimilað	ssg	heimila
að	cn	að
fella	sng	fella
niður	aa	niður
þessa	faveo	þessi
upplýsingaöflun	nveo	upplýsingaöflun
ef	c	ef
til	aa	til
er	sfg3en	vera
gagnagrunnur	nken	gagnagrunnur
þar	aa	þar
sem	c	sem
upplýsingar	nvfn	upplýsing
þessar	favfn	þessi
liggja	sfg3fn	liggja
fyrir	aa	fyrir
.	.	.
Hér	aa	hér
er	sfg3en	vera
t.d.	as	t.d.
átt	sþghen	eiga
við	ao	við
gagnagrunn	nkeo	gagnagrunnur
sem	ct	sem
myndast	sfm3en	mynda
við	ao	við
einstaklingsmerkingu	nveo	einstaklingsmerking
gripa	nkfe	gripur
.	.	.
Þá	aa	þá
nær	sfg3en	ná
heimildin	nveng	heimild
til	ae	til
þess	fphee	það
að	cn	að
fella	sng	fella
niður	aa	niður
upplýsingaöflun	nveo	upplýsingaöflun
að	aþ	að
hluta	nkeþ	hluti
.	.	.
Um	ao	um
12.	ta	12.
gr.	as	gr.
Í	aþ	í
greininni	nveþg	grein
er	sfg3en	vera
fjallað	sþghen	fjalla
um	ao	um
grunneftirlit	nheo	grunneftirlit
.	.	.
Kveðið	sþghen	kveða
er	sfg3en	vera
á	aa	á
um	ao	um
eftirlitsferð	nveo	eftirlitsferð
sem	ct	sem
búfjáreftirlitsmaður	nken	búfjáreftirlitsmaður
skal	sfg3en	skulu
fara	sng	fara
einu	tfheþ	einn
sinni	nheþ	sinn
á	aþ	á
ári	nheþ	ár
,	,	,
fyrir	ao	fyrir
15.	ta	15.
apríl	nkeo	apríl
,	,	,
til	ae	til
þeirra	fakfe	sá
sem	ct	sem
ekki	aa	ekki
starfrækja	sfg3fn	starfrækja
innra	lheovm	innri
eftirlit	nheo	eftirlit
eða	c	eða
eru	sfg3fn	vera
með	ao	með
viðurkennda	lveosf	viðurkenndur
gæðastjórnun	nveo	gæðastjórnun
á	aþ	á
búum	nhfþ	bú
sínum	fehfþ	sinn
.	.	.
Gæðastjórnunin	nveng	gæðastjórnun
verður	sfg3en	verða
að	cn	að
vera	sng	vera
viðurkennd	sþgven	viðurkenna
af	aþ	af
Bændasamtökum	nhfþ-s	Bændasamtök
Íslands	nhee-s	Ísland
.	.	.
Óeðlilegt	lhensf	óeðlilegur
er	sfg3en	vera
að	c	að
margar	lvfnsf	margur
eftirlitsferðir	nvfn	eftirlitsferð
séu	svg3fn	vera
farnar	sþgvfn	fara
til	ae	til
þeirra	fakfe	sá
sem	ct	sem
starfrækja	sfg3fn	starfrækja
innra	lheovm	innri
eftirlit	nheo	eftirlit
eða	c	eða
hafa	sfg3fn	hafa
gæðastjórnun	nveo	gæðastjórnun
viðurkennda	lveosf	viðurkenndur
af	aþ	af
Bændasamtökum	nhfþ-s	Bændasamtök
Íslands	nhee-s	Ísland
.	.	.
Hins	fakee	hinn
vegar	nkee	vegur
er	sfg3en	vera
eðlilegt	lhensf	eðlilegur
að	c	að
búfjáreftirlitsmaður	nken	búfjáreftirlitsmaður
geti	svg3en	geta
tekið	ssg	taka
að	aþ	að
sér	fpkeþ	sig
eftirlit	nheo	eftirlit
samkvæmt	aþ	samkvæmt
gæðastýringarkerfi	nheþ	gæðastýringarkerfi
en	c	en
í	aþ	í
þessum	fahfþ	þessi
lögum	nhfþ	lag
er	sfg3en	vera
ekki	aa	ekki
tekið	sþghen	taka
á	aþ	á
því	fpheþ	það
heldur	c	heldur
verða	sfg3fn	verða
sett	sþghfn	setja
sérstök	lhfnsf	sérstakur
lög	nhfn	lag
sem	ct	sem
fjalla	sfg3fn	fjalla
um	ao	um
það	fpheo	það
,	,	,
enda	c	enda
ekki	aa	ekki
sami	fbken	sami
aðili	nken	aðili
sem	ct	sem
greiðir	sfg3en	greiða
fyrir	ao	fyrir
eftirlit	nheo	eftirlit
samkvæmt	aþ	samkvæmt
gæðastýringu	nveþ	gæðastýring
og	c	og
almennt	aa	almennt
búfjáreftirlit	nheo	búfjáreftirlit
,	,	,
nema	c	nema
búfjáreigandi	nken	búfjáreigandi
beri	svg3en	bera
kostnaðinn	nkeog	kostnaður
í	aþ	í
báðum	fohfþ	báðir
tilvikum	nhfþ	tilvik
.	.	.
Í	aþ	í
eftirlitsferðinni	nveþg	eftirlitsferð
skal	sfg3en	skulu
búfjáreftirlitsmaður	nken	búfjáreftirlitsmaður
líta	sng	líta
eftir	aþ	eftir
aðbúnaði	nkeþ	aðbúnaður
búfjár	nhee	búfé
,	,	,
fóðrun	nveþ	fóðrun
og	c	og
sannreyna	sng	sannreyna
fjölda	nkeo	fjöldi
þess	fphee	það
.	.	.
Hafi	svg3fn	hafa
verið	ssg	vera
gerðar	sþgvfn	gera
athugasemdir	nvfn	athugasemd
við	ao	við
aðbúnað	nkeo	aðbúnaður
búfjár	nhee	búfé
og	c	og
/	/	/
eða	c	eða
fóðrun	nveo	fóðrun
þess	fphee	það
síðustu	lkfove	síðari
15	ta	15
mánuði	nkfo	mánuður
miðað	sþghen	miða
við	ao	við
15.	ta	15.
apríl	nkeo	apríl
skal	sfg3en	skulu
búfjáreftirlitsmaður	nken	búfjáreftirlitsmaður
halda	sng	halda
uppi	aa	uppi
sérstöku	lheþsf	sérstakur
eftirliti	nheþ	eftirlit
,	,	,
t.d.	as	t.d.
með	aþ	með
því	fpheþ	það
að	cn	að
fara	sng	fara
í	ao	í
aukaeftirlitsferðir	nvfo	aukaeftirlitsferð
.	.	.
Ekki	aa	ekki
er	sfg3en	vera
ætlast	sþmhen	ætla
til	ae	til
að	c	að
búfjáreftirlitsmaður	nken	búfjáreftirlitsmaður
fari	svg3en	fara
margar	lvfosf	margur
ferðir	nvfo	ferð
á	ao	á
bæi	nkfo	bær
því	fpheþ	það
ef	c	ef
