lifandi	lheþof	lifandi
býður	sfg3en	bjóða
félagið	nheng	félag
fragtpláss	nheo	fragtpláss
í	aþ	í
öllum	fovfþ	allur
farþegavélum	nvfþ	farþegavél
Flugleiða	nvfe-s	Flugleið
.	.	.
Það	fphen	það
hefur	sfg3en	hafa
verið	ssg	vera
mikil	lvensf	mikill
eftirspurn	nven	eftirspurn
eftir	aþ	eftir
plássi	nheþ	pláss
í	ao	í
fragtvélar	nvfo	fragtvél
með	ao	með
ferskfisk	nkeo	ferskfiskur
,	,	,
bæði	c	bæði
til	ae	til
Bandaríkjanna	nhfegs	Bandaríki
,	,	,
Bretlands	nhee-s	Bretland
og	c	og
svo	aa	svo
meginlands	nhee	meginland
Evrópu	nvee-s	Evrópa
.	.	.
Það	fphen	það
verður	sfg3en	verða
lögð	sþgven	leggja
áhersla	nven	áhersla
á	ao	á
að	cn	að
auka	sng	auka
framboð	nheo	framboð
á	aþ	á
þessum	favfþ	þessi
leiðum	nvfþ	leið
strax	aa	strax
í	ao	í
haust	nheo	haust
.	.	.
Við	fp1fn	ég
höfum	sfg1fn	hafa
fundið	ssg	finna
fyrir	aþ	fyrir
vaxandi	lkeþof	vaxandi
áhuga	nkeþ	áhugi
fiskútflytjenda	nkfe	fiskútflytjandi
á	aþ	á
að	cn	að
auka	sng	auka
sölu	nveo	sala
á	aþ	á
ferskfiski	nkeþ	ferskfiskur
,	,	,
sérstaklega	aa	sérstaklega
inn	aa	inn
á	ao	á
meginland	nheo	meginland
Evrópu	nvee-s	Evrópa
og	c	og
Bretland	nheo-s	Bretland
.	.	.
Við	fp1fn	ég
eigum	sfg1fn	eiga
mjög	aa	mjög
góð	lhfosf	góður
samskipti	nhfo	samskipti
við	ao	við
viðskiptavini	nkfo	viðskiptavinur
okkar	fp1fe	ég
og	c	og
viljum	sfg1fn	vilja
vera	sng	vera
vissir	lkfnsf	viss
um	ao	um
að	c	að
við	fp1fn	ég
sem	ct	sem
flutningsaðili	nken	flutningsaðili
séum	svg1fn	vera
ekki	aa	ekki
takmarkandi	lkenof	takmarkandi
þáttur	nken	þáttur
í	aþ	í
uppbyggingu	nveþ	uppbygging
ferskfiskútflutnings	nkee	ferskfiskútflutningur
.	.	.
Því	aa	því
er	sfg3en	vera
náin	lvensf	náinn
samvinna	nven	samvinna
okkar	fp1fe	ég
á	aa	á
milli	ae	milli
mjög	aa	mjög
þýðingarmikil	lvensf	þýðingarmikill
.	.	.
Mun	nkeþ	munur
meiri	lkenvm	mikill
veltuhraði	nken	veltuhraði
Auk	ae	auk
hefðbundis	lheesf	hefðbundis
flugs	nhee	flug
á	ao	á
Boston	e	Boston
,	,	,
Minneapolis	e	Minneapolis
og	c	og
Baltimore	e	Baltimore
mun	sfg3en	munu
Icelandair	e	Icelandair
Cargo	e	Cargo
bjóða	sng	bjóða
þrjú	tfhfo	þrír
fragtflug	nhfo	fragtflug
í	aþ	í
viku	nveþ	vika
til	ae	til
New	e	New
York	e	York
og	c	og
gerir	sfg3en	gera
Róbert	nken-s	Róbert
ráð	nheo	ráð
fyrir	aþ	fyrir
að	c	að
það	fphen	það
nægi	svg3en	nægja
til	ae	til
þess	fphee	það
að	cn	að
anna	sng	anna
eftirspurn	nveþ	eftirspurn
í	aþ	í
Bandaríkjunum	nhfþgs	Bandaríki
.	.	.
Hann	fpken	hann
segir	sfg3en	segja
að	c	að
verð	nhen	verð
á	aþ	á
flugfragt	nveþ	flugfragt
sé	svg3en	vera
ekki	aa	ekki
eins	aa	eins
hátt	lhensf	hár
og	c	og
fólk	nhen	fólk
oft	aa	oft
haldi	svg3en	halda
.	.	.
Að	aþ	að
sjálfsögðu	lheþsf	sjálfsagður
verðum	sfg1fn	verða
við	fp1fn	ég
aldrei	aa	aldrei
jafnódýr	lhfnsf	jafnódýr
og	c	og
skipafragt	nven	skipafragt
.	.	.
Það	fphen	það
þarf	sfg3en	þurfa
hinsvegar	aa	hinsvegar
að	cn	að
taka	sng	taka
margt	lheosf	margur
annað	foheo	annar
með	aa	með
í	ao	í
reikninginn	nkeog	reikningur
þegar	c	þegar
rætt	sþghen	ræða
er	sfg3en	vera
um	ao	um
verð	nheo	verð
.	.	.
Má	sfg3en	mega
þar	aa	þar
nefna	sng	nefna
hraða	nkeo	hraði
og	c	og
tíðni	nveo	tíðni
þjónustu	nvee	þjónusta
sem	ct	sem
aftur	aa	aftur
verður	sfg3en	verða
til	ae	til
þess	fphee	það
að	c	að
viðkomandi	lkenof	viðkomandi
getur	sfg3en	geta
sent	ssg	senda
eða	c	eða
fengið	ssg	fá
minni	lvfovm	lítill
sendingar	nvfo	sending
á	aþ	á
þeim	fakeþ	sá
tíma	nkeþ	tími
sem	ct	sem
hann	fpken	hann
þarf	sfg3en	þurfa
á	aþ	á
því	fpheþ	það
að	cn	að
halda	sng	halda
,	,	,
og	c	og
er	sfg3en	vera
því	aa	því
ekki	aa	ekki
að	cn	að
binda	sng	binda
óþarfa	nkee	óþarfi
fé	nheo	fé
í	aþ	í
til	ae	til
dæmis	nhee	dæmi
stórum	lkeþsf	stór
lager	nkeþ	lager
til	ae	til
þess	fphee	það
eins	lheesf	einn
að	cn	að
geta	sng	geta
fyllt	ssg	fylla
heilan	lkeosf	heill
skipagám	nkeo	skipagámur
.	.	.
Sendingar	nvfn	sending
verða	sfg3fn	verða
kannski	aa	kannski
fleiri	lvfnvm	margur
en	c	en
veltuhraði	nken	veltuhraði
mun	nkeþ	munur
meiri	lkenvm	mikill
.	.	.
Icelandair	e	Icelandair
Cargo	e	Cargo
verður	sfg3en	verða
á	aþ	á
bás	nkeþ-s	Bás
A092	x	a092
á	aþ	á
Íslensku	lveþvf	íslenskur
sjávarútvegssýningunni	nveþg	sjávarútvegssýning
og	c	og
segir	sfg3en	segja
Róbert	nken-s	Róbert
að	c	að
starfsfólk	nhen	starfsfólk
félagsins	nheeg	félag
geti	svg3en	geta
boðið	ssg	bjóða
upp	aa	upp
á	ao	á
flutninga	nkfo	flutningur
nánst	x	nánast
hvert	aa	hvert
sem	ct	sem
er	sfg3en	vera
gegnum	ao	gegnum
samstarfssamninga	nkfo	samstarfssamningur
sem	ct	sem
félagið	nheng	félag
hefur	sfg3en	hafa
við	ao	við
öll	fohfo	allur
helstu	lhfove	heldri
flugfélög	nhfo	flugfélag
heims	nkee	heimur
.	.	.
Sú	faven	sá
vél	nven	vél
,	,	,
sem	ct	sem
við	fp1fn	ég
höfum	sfg1fn	hafa
framleitt	ssg	framleiða
mest	lheose	mikill
af	aa	af
eða	c	eða
alls	fohee	allur
150	ta	150
eintök	nhfo	eintak
,	,	,
er	sfg3en	vera
fésvélin	nveng	fésvél
,	,	,
en	c	en
hún	fpven	hún
slítur	sfg3en	slíta
tálknin	nhfog	tálkn
úr	aþ	úr
hausnum	nkeþg	haus
og	c	og
fésar	sfg3en	fésa
með	aþ	með
afköstum	nhfþ	afkast
á	aa	á
við	ao	við
hröðustu	lkfove	hraður
hausara	nkfo	hausari
.	.	.
Við	fp1fn	ég
höfum	sfg1fn	hafa
selt	ssg	selja
um	aa	um
fimmtíu	tfvfo	fimmtíu
hryggvinnsluvélar	nvfo	hryggvinnsluvél
,	,	,
sem	ct	sem
við	fp1fn	ég
köllum	sfg1fn	kalla
Mesa	e	Mesa
850	ta	850
.	.	.
Mesa	e	Mesa
900	ta	900
er	sfg3en	vera
hins	fakee	hinn
vegar	nkee	vegur
sú	faven	sá
vél	nven	vél
,	,	,
sem	ct	sem
við	fp1fn	ég
leggjum	sfg1fn	leggja
mestu	lveove	mikill
áherslu	nveo	áhersla
á	aa	á
en	c	en
hún	fpven	hún
gellar	sfg3en	gella
,	,	,
sker	sfg3en	skera
klumbur	nvfo	klumba
og	c	og
kinnar	nvfo	kinn
á	ao	á
öruggan	lkeosf	öruggur
hátt	nkeo	háttur
og	c	og
með	aþ	með
sífelldri	lveþsf	sífelldur
mælingu	nveþ	mæling
hausanna	nkfeg	haus
þannig	aa	þannig
að	c	að
hámarksnýtingu	nveþ	hámarksnýting
úr	aþ	úr
hverjum	fokeþ	hver
haus	nkeþ	haus
er	sfg3en	vera
náð	sþghen	ná
,	,	,
segir	sfg3en	segja
Árni	nken-s	Árni
Sigurðsson	nken-s	Sigurðsson
,	,	,
framkvæmdastjóri	nken	framkvæmdastjóri
og	c	og
eigandi	nken	eigandi
fyrirtækisins	nheeg	fyrirtæki
.	.	.
Árni	nken-s	Árni
hefur	sfg3en	hafa
verið	ssg	vera
frumkvöðull	nken	frumkvöðull
í	aþ	í
hönnun	nveþ	hönnun
,	,	,
þróun	nveþ	þróun
og	c	og
sölu	nveþ	sala
á	aþ	á
fiskvinnsluvélum	nvfþ	fiskvinnsluvél
,	,	,
sem	ct	sem
skera	sfg3fn	skera
fiskhold	nheo	fiskhold
af	aþ	af
hausum	nkfþ	haus
og	c	og
hryggjum	nkfþ	hryggur
.	.	.
Þegar	c	þegar
fyrirtækið	nheng	fyrirtæki
var	sfg3eþ	vera
stofnað	sþghen	stofna
fyrir	aþ	fyrir
hálfum	lkeþsf	hálfur
öðrum	lkeþsf	öðr
áratug	nkeþ	áratugur
þótti	sfg3eþ	þykja
mörgum	lkfþsf	margur
ekki	aa	ekki
borga	sng	borga
sig	fpheo	sig
að	cn	að
hirða	sng	hirða
þessar	favfo	þessi
afurðir	nvfo	afurð
enda	c	enda
tímafrekt	lhensf	tímafrekur
að	cn	að
skera	sng	skera
þær	fpvfo	hún
með	aþ	með
höndunum	nvfþg	hönd
einum	lvfþsf	einn
saman	aa	saman
.	.	.
Núna	aa	núna
er	sfg3en	vera
varla	aa	varla
til	aa	til
nokkur	foven	nokkur
saltfiskverkun	nven	saltfiskverkun
á	aþ	á
landinu	nheþg	land
sem	ct	sem
ekki	aa	ekki
er	sfg3en	vera
með	ao	með
Mesa-vélar	nvfo-s	Mesa-vél
í	aþ	í
notkun	nveþ	notkun
auk	ae	auk
þess	fphee	það
sem	c	sem
fjöldi	nken	fjöldi
véla	nvfe	vél
hefur	sfg3en	hafa
verið	ssg	vera
seldur	sþgken	selja
til	ae	til
útlanda	nhfe	útland
,	,	,
allt	fohen	allur
frá	aþ	frá
Alaska	nheþ-s	Alaska
í	aþ	í
norðri	nheþ	norður
til	ae	til
Nýja-Sjálands	nhee-s	Nýja-Sjáland
í	aþ	í
suðri	nheþ	suður
,	,	,
að	aþ	að
sögn	nveþ	sögn
Árna	nkee-s	Árni
.	.	.
Gellu-	nven	gelluvél
og	c	og
kinnavél	nven	kinnavél
í	aþ	í
togurum	nkfþ	togari
Mesa	e	Mesa
900	ta	900
gellu-	nveng	gelluvél
og	c	og
kinnavélin	nveng	kinnavél
er	sfg3en	vera
sú	faven	sá
fiskvinnsluvél	nven	fiskvinnsluvél
,	,	,
sem	ct	sem
við	fp1fn	ég
veðjum	sfg1fn	veðja
mest	aae	mikið
á	aa	á
í	ao	í
dag	nkeo	dagur
.	.	.
Á	aþ	á
þessu	faheþ	þessi
ári	nheþ	ár
höfum	sfg1fn	hafa
við	fp1fn	ég
sett	ssg	setja
upp	aa	upp
fjórar	tfvfo	fjórir
slíkar	fbvfo	slíkur
vélar	nvfo	vél
í	aþ	í
Færeyjum	nvfþ-s	Færeyjar
,	,	,
bæði	c	bæði
í	aþ	í
togara	nkeþ	togari
og	c	og
landvinnslu	nveþ	landvinnsla
,	,	,
og	c	og
erum	sfg1fn	vera
sem	ct	sem
stendur	sfg3en	standa
að	cn	að
smíða	sng	smíða
nokkrar	fovfo	nokkur
vélar	nvfo	vél
í	ao	í
viðbót	nveo	viðbót
fyrir	ao	fyrir
Færeyinga	nkfo-s	Færeyingur
til	ae	til
að	cn	að
setja	sng	setja
um	ao	um
borð	nheo	borð
í	ao	í
togara	nkeo	togari
.	.	.
Við	fp1fn	ég
höfum	sfg1fn	hafa
auk	ae	auk
þess	fphee	það
selt	ssg	selja
gellu-	nveog	gelluvél
og	c	og
kinnavélina	nveog	kinnavél
í	ao	í
nokkur	fohfo	nokkur
rússnesk	lhfosf	rússneskur
og	c	og
norsk	lhfosf	norskur
skip	nhfo	skip
.	.	.
Hins	fakee	hinn
vegar	nkee	vegur
er	sfg3en	vera
hún	fpven	hún
aðeins	aa	aðeins
komin	sþgven	koma
í	ao	í
eitt	lheosf	einn
íslenskt	lheosf	íslenskur
skip	nheo	skip
,	,	,
Hrafn	nkeo-s	Hrafn
Sveinbjarnarson	nkeo-s	Sveinbjarnarson
frá	aþ	frá
Grindavík	nveþ-s	Grindavík
.	.	.
Íslenskir	lkfnsf	íslenskur
útgerðarmenn	nkfn	útgerðarmaður
hafa	sfg3fn	hafa
verið	ssg	vera
frekar	aam	frekar
seinir	lkfnsf	seinn
að	cn	að
taka	sng	taka
við	aþ	við
sér	fpkfþ	sig
hvað	fshen	hver
þetta	faheo	þessi
varðar	sfg3en	varða
og	c	og
hafa	sfg3fn	hafa
hingað	aa	hingað
til	aa	til
fremur	aam	fremur
kosið	ssg	kjósa
að	cn	að
henda	sng	henda
hausunum	nkfþg	haus
eða	c	eða
koma	sng	koma
með	ao	með
þá	fpkfo	hann
heilfrysta	lkfosf	heilfrystur
í	ao	í
land	nheo	land
.	.	.
Það	fphen	það
á	sfg3en	eiga
vonandi	aa	vonandi
eftir	aa	eftir
að	cn	að
breytast	snm	breyta
,	,	,
segir	sfg3en	segja
Árni	nken-s	Árni
.	.	.
Hausabrjótur	nken	hausabrjótur
sparar	sfg3en	spara
pláss	nheo	pláss
Fyrirtækið	nheng	fyrirtæki
hefur	sfg3en	hafa
einnig	aa	einnig
nokkrar	fovfo	nokkur
fleiri	lvfovm	margur
vélar	nvfo	vél
í	aþ	í
framleiðslu	nveþ	framleiðsla
.	.	.
Til	ae	til
að	cn	að
mynda	sng	mynda
má	sfg3en	mega
nefna	sng	nefna
Mesa	e	Mesa
300	ta	300
og	c	og
330	ta	330
xl	x	xl
sem	ct	sem
haus-	sfg3fn	hausskera
og	c	og
sporðskera	sfg3fn	sporðskera
flatfisk	nkeo	flatfiskur
og	c	og
skera	sfg3fn	skera
rafabeltin	nhfog	rafabelti
af	aa	af
.	.	.
Hausabrjóturinn	nkeng	hausabrjótur
Mesa	e	Mesa
422	ta	422
er	sfg3en	vera
svo	aa	svo
notaður	sþgken	nota
til	ae	til
að	cn	að
fletja	sng	fletja
út	aa	út
hausa	nkfo	haus
fyrir	ao	fyrir
þurrkun	nveo	þurrkun
á	aþ	á
grindum	nvfþ	grind
í	aþ	í
þurrkhúsum	nhfþ	þurrkhús
.	.	.
Að	aþ	að
sögn	nveþ	sögn
Árna	nkee-s	Árni
hentar	sfg3en	henta
sú	faven	sá
vél	nven	vél
líka	aa	líka
vel	aa	vel
um	ao	um
borð	nheo	borð
í	aþ	í
skipum	nhfþ	skip
svo	aa	svo
að	c	að
hausarnir	nkfng	haus
tækju	svg3fþ	taka
minna	lheovm	lítill
pláss	nheo	pláss
.	.	.
Ekki	aa	ekki
hefur	sfg3en	hafa
þó	aa	þó
unnist	ssm	vinna
tími	nken	tími
til	ae	til
þess	fphee	það
ennþá	aa	ennþá
að	cn	að
kynna	sng	kynna
þennan	fakeo	þessi
möguleika	nkeo	möguleiki
fyrir	aþ	fyrir
útgerðarmönnum	nkfþ	útgerðarmaður
frystiskipa	nhfe	frystiskip
.	.	.
Þótt	c	þótt
ekki	aa	ekki
hafist	svm3en	hafa
undan	aþ	undan
að	cn	að
smíða	sng	smíða
þær	favfo	sá
tegundir	nvfo	tegund
véla	nvfe	vél
,	,	,
sem	ct	sem
þegar	aa	þegar
eru	sfg3fn	vera
í	aþ	í
framleiðslu	nveþ	framleiðsla
,	,	,
er	sfg3en	vera
fyrirtækið	nheng	fyrirtæki
með	ao	með
nýjar	lvfosf	nýr
vélar	nvfo	vél
á	aþ	á
hönnunarstigi	nheþ	hönnunarstig
,	,	,
segir	sfg3en	segja
Árni	nken-s	Árni
.	.	.
Þar	aa	þar
má	sfg3en	mega
nefna	sng	nefna
þróun	nveo	þróun
á	aþ	á
vélum	nvfþ	vél
sem	ct	sem
gera	sfg3fn	gera
mönnum	nkfþ	maður
kleift	lheosf	kleifur
að	cn	að
nýta	sng	nýta
ákveðna	lkfosf	ákveðinn
hluta	nkfo	hluti
af	aþ	af
haus	nkeþ	haus
túnfisks	nkee	túnfiskur
,	,	,
en	c	en
það	fahen	sá
verkefni	nhen	verkefni
er	sfg3en	vera
unnið	sþghen	vinna
í	aþ	í
samvinnu	nveþ	samvinna
við	ao	við
Evrópusambandið	nheogs	Evrópusamband
.	.	.
Ennfremur	aa	ennfremur
vinnur	sfg3en	vinna
fyrirtækið	nheng	fyrirtæki
að	aþ	að
verkefni	nheþ	verkefni
fyrir	ao	fyrir
Namibíumenn	nkfo-s	Namibíumaður
sem	ct	sem
felst	sfm3en	fela
í	aþ	í
því	fpheþ	það
að	cn	að
þróa	sng	þróa
búnað	nkeo	búnaður
til	ae	til
að	cn	að
nýta	sng	nýta
hold	nheo	hold
af	aþ	af
lýsingshausum	nkfþ	lýsingshaus
.	.	.
Vélarnar	nvfng	vél
fara	sfg3fn	fara
víða	aa	víða
Mesa-vélarnar	nvfngs	Mesa-vél
hafa	sfg3fn	hafa
fengið	ssg	fá
mjög	aa	mjög
góðar	lvfosf	góður
viðtökur	nvfo	viðtaka
erlendis	aa	erlendis
enda	c	enda
segist	sfm3en	segja
Árni	nken-s	Árni
ekki	aa	ekki
vita	sng	vita
til	ae	til
þess	fphee	það
að	c	að
sambærilegar	lvfnsf	sambærilegur
vélar	nvfn	vél
séu	svg3fn	vera
þar	aa	þar
á	aþ	á
markaði	nkeþ	markaður
.	.	.
Meðal	ae	meðal
þeirra	fahfe	sá
landa	nhfe	land
,	,	,
sem	ct	sem
Mesa-vélar	nvfn-s	Mesa-vél
hafa	sfg3fn	hafa
verið	ssg	vera
seldar	sþgvfn	selja
til	aa	til
,	,	,
eru	sfg3fn	vera
:	:	:
Nýfundnaland	nhen-s	Nýfundnaland
,	,	,
Kanada	nhen-s	Kanada
,	,	,
Grænland	nhen-s	Grænland
,	,	,
Færeyjar	nvfn-s	Færeyjar
,	,	,
Noregur	nken-s	Noregur
,	,	,
England	nhen-s	England
,	,	,
Skotland	nhen-s	Skotland
,	,	,
Spánn	nken-s	Spánn
,	,	,
Portúgal	nhen-s	Portúgal
,	,	,
Kanaríeyjar	nvfn-s	Kanaríeyjar
,	,	,
Bandaríkin	nhfngs	Bandaríki
og	c	og
Nýja-Sjáland	nhen-s	Nýja-Sjáland
.	.	.
ÍSLENSKA	lvenvf	íslenskur
sjávarútvegssýningin	nveng	sjávarútvegssýning
verður	sfg3en	verða
opnuð	sþgven	opna
með	aþ	með
viðhöfn	nveþ	viðhöfn
í	aþ	í
Smáraskóla	nkeþ-s	Smáraskóli
kl.	as	kl.
10.00	ta	10.00
f.h.	as	f.h.
hinn	gkeo	hinn
4.	ta	4.
september	nkeo	september
og	c	og
stendur	sfg3en	standa
til	ae	til
7.	ta	7.
september	nkee	september
.	.	.
Árni	nken-s	Árni
Mathiesen	nken-s	Mathiesen
sjávarútvegsráðherra	nken	sjávarútvegsráðherra
flytur	sfg3en	flytja
ávarp	nheo	ávarp
og	c	og
opnar	sfg3en	opna
sýninguna	nveog	sýning
.	.	.
Gert	sþghen	gera
er	sfg3en	vera
ráð	nhen	ráð
fyrir	aþ	fyrir
fjölmenni	nheþ	fjölmenni
á	aþ	á
opnunarhátíðinni	nveþg	opnunarhátíð
en	c	en
meðal	ae	meðal
gesta	nkfe	gestur
verður	sfg3en	verða
forseti	nken	forseti
Íslands	nhee-s	Ísland
,	,	,
Ólafur	nken-s	Ólafur
Ragnar	nken-s	Ragnar
Grímsson	nken-s	Grímsson
,	,	,
sem	ct	sem
mun	sfg3en	munu
skoða	sng	skoða
sýninguna	nveog	sýning
strax	aa	strax
eftir	ao	eftir
opnun	nveo	opnun
hennar	fpvee	hún
.	.	.
Íslenska	lvenvf	íslenskur
sjávarútvegssýningin	nveng	sjávarútvegssýning
verður	sfg3en	verða
opin	lvensf	opinn
daglega	aa	daglega
frá	aa	frá
kl.	as	kl.
10.00-18.00	ta	10.00-18.00
.	.	.
RÁÐHERRAFUNDUR	nken-s	Ráðherrafundur
í	aþ	í
boði	nheþ	boð
Árna	nkee-s	Árni
M.	as	M.
Mathiesen	nkee-s	Mathiesen
sjávarútvegsráðherra	nkee	sjávarútvegsráðherra
verður	sfg3en	verða
haldinn	sþgken	halda
í	aþ	í
Þjóðmenningarhúsinu	nheþgs	Þjóðmenningarhúsið
í	aþ	í
Reykjavík	nveþ-s	Reykjavík
5.	ta	5.
september	nkeo	september
nk.	as	nk.
Meðal	ae	meðal
þátttakenda	nkfe	þátttakandi
á	aþ	á
fundinum	nkeþg	fundur
verða	sfg3fn	verða
sjávarútvegsráðherrar	nkfn	sjávarútvegsráðherra
Chile	e	Chile
og	c	og
Skotlands	nhee-s	Skotland
,	,	,
formaður	nken	formaður
sjávarútvegsnefndar	nvee	sjávarútvegsnefnd
Evrópuþingsins	nheegs	Evrópuþing
og	c	og
forstjóri	nken	forstjóri
sjávarútvegsdeildar	nvee	sjávarútvegsdeild
Sjávar-	nvee-s	sjávarmálastofnun
og	c	og
umhverfismálastofnunar	nvee	umhverfismálastofnun
Bandaríkjanna	nhfegs	Bandaríki
(	(	(
NOAA	as	NOAA
)	)	)
.	.	.
Í	aþ	í
TENGSLUM	nhfþ	tengsl
við	ao	við
sjávarútvegssýninguna	nveog	sjávarútvegssýning
verða	sfg3fn	verða
Íslensku	lhfnvf	íslenskur
sjávarútvegsverðlaunin	nhfng	sjávarútvegsverðlaun
veitt	ssg	veita
öðru	lheþsf	öðr
sinni	nheþ	sinn
á	aþ	á
hátíðarkvöldi	nheþ	hátíðarkvöld
